Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (ISO3),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","21","Brazil","SAU","Saudi Arabia","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","398410","","Official data"
"TM","Detailed trade matrix","21","Brazil","SEN","Senegal","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","7745","","Official data"
"TM","Detailed trade matrix","21","Brazil","SGP","Singapore","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","SGP","Singapore","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","1433","","Official data"
"TM","Detailed trade matrix","21","Brazil","SGP","Singapore","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","22675","","Official data"
"TM","Detailed trade matrix","21","Brazil","SVK","Slovakia","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","488864","","Official data"
"TM","Detailed trade matrix","21","Brazil","SVK","Slovakia","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","251","","Official data"
"TM","Detailed trade matrix","21","Brazil","ZAF","South Africa","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","1","","Official data"
"TM","Detailed trade matrix","21","Brazil","ZAF","South Africa","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","4250","","Official data"
"TM","Detailed trade matrix","21","Brazil","ZAF","South Africa","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","ESP","Spain","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","244006","","Official data"
"TM","Detailed trade matrix","21","Brazil","ESP","Spain","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","220","","Official data"
"TM","Detailed trade matrix","21","Brazil","ESP","Spain","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","39","","Official data"
"TM","Detailed trade matrix","21","Brazil","ESP","Spain","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","1962643","","Official data"
"TM","Detailed trade matrix","21","Brazil","LKA","Sri Lanka","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","257","","Official data"
