system:index,area,class,co_mun,year,.geo
0_0000000000000000032a_0_1,80.52985859374998,39,5002159.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032b_0_0,473788.84387270757,0,5002209.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032b_0_1,19483.640005704026,39,5002209.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032c_0_0,579940.9759565511,0,5002308.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032c_0_1,608.7915162353551,39,5002308.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032e_0_0,612306.106171017,0,5002605.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032e_0_1,10453.028311826325,39,5002605.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032f_0_0,787487.1891824746,0,5002704.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032f_0_1,21567.4270294022,39,5002704.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000330_0_0,293613.7624640639,0,5002803.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000330_0_1,157.3494896972668,39,5002803.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000336_0_0,350743.90163184435,0,5003256.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000336_0_1,65514.06593305842,39,5003256.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000337_0_0,629280.5740798101,0,5003306.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000337_0_1,11429.361914036648,39,5003306.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000339_0_0,230767.53870751127,0,5003488.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000339_0_1,3569.0971374394785,39,5003488.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000033e_0_0,487378.42960776296,0,5003900.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000033e_0_1,767.532160177046,39,5003900.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000341_0_0,285357.1315936259,0,5004304.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000341_0_1,9194.388267861726,39,5004304.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
