"Tabela 94 - Vacas ordenhadas"
"Variável - Vacas ordenhadas (Cabeças)"
"Nível";"Cód.";"Município";"Ano"
"MU";"1501303";"Barcarena (PA)";"37"
"MU";"1501402";"Belém (PA)";"25"
"MU";"1501451";"Belterra (PA)";"397"
"MU";"1501501";"Benevides (PA)";"120"
"MU";"1501576";"Bom Jesus do Tocantins (PA)";"10580"
"MU";"1501600";"Bonito (PA)";"398"
"MU";"1501709";"Bragança (PA)";"472"
"MU";"1501725";"Brasil Novo (PA)";"4715"
"MU";"1501758";"Brejo Grande do Araguaia (PA)";"8300"
"MU";"1501782";"Breu Branco (PA)";"3875"
"MU";"1501808";"Breves (PA)";"141"
"MU";"1501907";"Bujaru (PA)";"390"
"MU";"1501956";"Cachoeira do Piriá (PA)";"274"
"MU";"1502004";"Cachoeira do Arari (PA)";"4816"
"MU";"1502103";"Cametá (PA)";"155"
"MU";"1502152";"Canaã dos Carajás (PA)";"18000"
"MU";"1502202";"Capanema (PA)";"1310"
"MU";"1502301";"Capitão Poço (PA)";"1320"
"MU";"1502400";"Castanhal (PA)";"8900"
"MU";"1502509";"Chaves (PA)";"4700"
"MU";"1502608";"Colares (PA)";"..."
"MU";"1502707";"Conceição do Araguaia (PA)";"9144"
"MU";"1502756";"Concórdia do Pará (PA)";"81"
"MU";"1502764";"Cumaru do Norte (PA)";"25206"
"MU";"1502772";"Curionópolis (PA)";"18540"
"MU";"1502806";"Curralinho (PA)";"28"
"MU";"1502855";"Curuá (PA)";"6951"
"MU";"1502905";"Curuçá (PA)";"37"
"MU";"1502939";"Dom Eliseu (PA)";"1748"
"MU";"1502954";"Eldorado do Carajás (PA)";"21670"
"MU";"1503002";"Faro (PA)";"1822"
"MU";"1503044";"Floresta do Araguaia (PA)";"13998"
"MU";"1503077";"Garrafão do Norte (PA)";"572"
"MU";"1503093";"Goianésia do Pará (PA)";"3000"
"MU";"1503101";"Gurupá (PA)";"20"
"MU";"1503200";"Igarapé-Açu (PA)";"529"
"MU";"1503309";"Igarapé-Miri (PA)";"61"
"MU";"1503408";"Inhangapi (PA)";"320"
"MU";"1503457";"Ipixuna do Pará (PA)";"7977"
"MU";"1503507";"Irituia (PA)";"2840"
"MU";"1503606";"Itaituba (PA)";"18035"
"MU";"1503705";"Itupiranga (PA)";"23600"
"MU";"1503754";"Jacareacanga (PA)";"322"
"MU";"1503804";"Jacundá (PA)";"5000"
"MU";"1503903";"Juruti (PA)";"2826"
"MU";"1504000";"Limoeiro do Ajuru (PA)";"..."
"MU";"1504059";"Mãe do Rio (PA)";"5673"
"MU";"1504109";"Magalhães Barata (PA)";"11"
"MU";"1504208";"Marabá (PA)";"31750"
"MU";"1504307";"Maracanã (PA)";"24"
"MU";"1504406";"Marapanim (PA)";"30"
"MU";"1504422";"Marituba (PA)";"57"
"MU";"1504455";"Medicilândia (PA)";"2150"
"MU";"1504505";"Melgaço (PA)";"103"
"MU";"1504604";"Mocajuba (PA)";"250"
"MU";"1504703";"Moju (PA)";"500"
"MU";"1504752";"Mojuí dos Campos (PA)";"70"
"MU";"1504802";"Monte Alegre (PA)";"3219"
"MU";"1504901";"Muaná (PA)";"745"
"MU";"1504950";"Nova Esperança do Piriá (PA)";"531"
"MU";"1504976";"Nova Ipixuna (PA)";"8000"
"MU";"1505007";"Nova Timboteua (PA)";"684"
"MU";"1505031";"Novo Progresso (PA)";"1580"
"MU";"1505064";"Novo Repartimento (PA)";"25000"
"MU";"1505106";"Óbidos (PA)";"13837"
"MU";"1505205";"Oeiras do Pará (PA)";"70"
"MU";"1505304";"Oriximiná (PA)";"20751"
"MU";"1505403";"Ourém (PA)";"352"
"MU";"1505437";"Ourilândia do Norte (PA)";"7051"
"MU";"1505486";"Pacajá (PA)";"24599"
"MU";"1505494";"Palestina do Pará (PA)";"3200"
"MU";"1505502";"Paragominas (PA)";"27785"
"MU";"1505536";"Parauapebas (PA)";"10700"
"MU";"1505551";"Pau D'Arco (PA)";"2346"
"MU";"1505601";"Peixe-Boi (PA)";"532"
"MU";"1505635";"Piçarra (PA)";"14556"
"MU";"1505650";"Placas (PA)";"5226"
"MU";"1505700";"Ponta de Pedras (PA)";"4326"
"MU";"1505809";"Portel (PA)";"740"
"MU";"1505908";"Porto de Moz (PA)";"4520"
"MU";"1506005";"Prainha (PA)";"11000"
"MU";"1506104";"Primavera (PA)";"86"
"MU";"1506112";"Quatipuru (PA)";"147"
"MU";"1506138";"Redenção (PA)";"17812"
"MU";"1506161";"Rio Maria (PA)";"12600"
"MU";"1506187";"Rondon do Pará (PA)";"4935"
"MU";"1506195";"Rurópolis (PA)";"4098"
"MU";"1506203";"Salinópolis (PA)";"10"
"MU";"1506302";"Salvaterra (PA)";"648"
"MU";"1506351";"Santa Bárbara do Pará (PA)";"56"
"MU";"1506401";"Santa Cruz do Arari (PA)";"2688"
"MU";"1506500";"Santa Izabel do Pará (PA)";"540"
"MU";"1506559";"Santa Luzia do Pará (PA)";"378"
"MU";"1506583";"Santa Maria das Barreiras (PA)";"10246"
"MU";"1506609";"Santa Maria do Pará (PA)";"470"
"MU";"1506708";"Santana do Araguaia (PA)";"11201"
"MU";"1506807";"Santarém (PA)";"8447"
"MU";"1506906";"Santarém Novo (PA)";"126"
"MU";"1507003";"Santo Antônio do Tauá (PA)";"65"
"MU";"1507102";"São Caetano de Odivelas (PA)";"6"
"MU";"1507151";"São Domingos do Araguaia (PA)";"24000"
"MU";"1507201";"São Domingos do Capim (PA)";"1200"
"MU";"1507300";"São Félix do Xingu (PA)";"13657"
"MU";"1507409";"São Francisco do Pará (PA)";"165"
"MU";"1507458";"São Geraldo do Araguaia (PA)";"30000"
"MU";"1507466";"São João da Ponta (PA)";"5"
"MU";"1507474";"São João de Pirabas (PA)";"157"
"MU";"1507508";"São João do Araguaia (PA)";"4300"
"MU";"1507607";"São Miguel do Guamá (PA)";"620"
"MU";"1507706";"São Sebastião da Boa Vista (PA)";"..."
"MU";"1507755";"Sapucaia (PA)";"1425"
"MU";"1507805";"Senador José Porfírio (PA)";"1032"
"MU";"1507904";"Soure (PA)";"4131"
"MU";"1507953";"Tailândia (PA)";"..."
"MU";"1507961";"Terra Alta (PA)";"65"
"MU";"1507979";"Terra Santa (PA)";"4400"
"MU";"1508001";"Tomé-Açu (PA)";"5400"
"MU";"1508035";"Tracuateua (PA)";"92"
"MU";"1508050";"Trairão (PA)";"1936"
"MU";"1508084";"Tucumã (PA)";"11188"
"MU";"1508100";"Tucuruí (PA)";"1600"
"MU";"1508126";"Ulianópolis (PA)";"7150"
"MU";"1508159";"Uruará (PA)";"3078"
"MU";"1508209";"Vigia (PA)";"19"
"MU";"1508308";"Viseu (PA)";"515"
"MU";"1508357";"Vitória do Xingu (PA)";"675"
"MU";"1508407";"Xinguara (PA)";"11071"
"MU";"1600055";"Serra do Navio (AP)";"232"
"MU";"1600105";"Amapá (AP)";"3180"
"MU";"1600154";"Pedra Branca do Amapari (AP)";"321"
"MU";"1600204";"Calçoene (AP)";"585"
"MU";"1600212";"Cutias (AP)";"767"
"MU";"1600238";"Ferreira Gomes (AP)";"321"
"MU";"1600253";"Itaubal (AP)";"506"
"MU";"1600279";"Laranjal do Jari (AP)";"351"
"MU";"1600303";"Macapá (AP)";"3184"
"MU";"1600402";"Mazagão (AP)";"304"
"MU";"1600501";"Oiapoque (AP)";"310"
"MU";"1600535";"Porto Grande (AP)";"729"
"MU";"1600550";"Pracuúba (AP)";"748"
"MU";"1600600";"Santana (AP)";"579"
"MU";"1600709";"Tartarugalzinho (AP)";"789"
"MU";"1600808";"Vitória do Jari (AP)";"218"
"MU";"1700251";"Abreulândia (TO)";"4023"
"MU";"1700301";"Aguiarnópolis (TO)";"766"
"MU";"1700350";"Aliança do Tocantins (TO)";"3142"
"MU";"1700400";"Almas (TO)";"2650"
"MU";"1700707";"Alvorada (TO)";"3040"
"MU";"1701002";"Ananás (TO)";"3221"
"MU";"1701051";"Angico (TO)";"1105"
"MU";"1701101";"Aparecida do Rio Negro (TO)";"1259"
"MU";"1701309";"Aragominas (TO)";"2812"
"MU";"1701903";"Araguacema (TO)";"3150"
"MU";"1702000";"Araguaçu (TO)";"15994"
"MU";"1702109";"Araguaína (TO)";"7974"
"MU";"1702158";"Araguanã (TO)";"1690"
"MU";"1702208";"Araguatins (TO)";"6870"
"MU";"1702307";"Arapoema (TO)";"6800"
"MU";"1702406";"Arraias (TO)";"10200"
"MU";"1702554";"Augustinópolis (TO)";"3010"
"MU";"1702703";"Aurora do Tocantins (TO)";"3000"
"MU";"1702901";"Axixá do Tocantins (TO)";"1902"
"MU";"1703008";"Babaçulândia (TO)";"3440"
"MU";"1703057";"Bandeirantes do Tocantins (TO)";"7000"
"MU";"1703073";"Barra do Ouro (TO)";"1788"
"MU";"1703107";"Barrolândia (TO)";"4120"
"MU";"1703206";"Bernardo Sayão (TO)";"5000"
"MU";"1703305";"Bom Jesus do Tocantins (TO)";"1340"
"MU";"1703602";"Brasilândia do Tocantins (TO)";"1700"
"MU";"1703701";"Brejinho de Nazaré (TO)";"3830"
"MU";"1703800";"Buriti do Tocantins (TO)";"1474"
"MU";"1703826";"Cachoeirinha (TO)";"430"
"MU";"1703842";"Campos Lindos (TO)";"2130"
"MU";"1703867";"Cariri do Tocantins (TO)";"3275"
"MU";"1703883";"Carmolândia (TO)";"930"
"MU";"1703891";"Carrasco Bonito (TO)";"1035"
"MU";"1703909";"Caseara (TO)";"2369"
"MU";"1704105";"Centenário (TO)";"710"
"MU";"1704600";"Chapada de Areia (TO)";"2060"
"MU";"1705102";"Chapada da Natividade (TO)";"2200"
"MU";"1705508";"Colinas do Tocantins (TO)";"6000"
"MU";"1705557";"Combinado (TO)";"1350"
"MU";"1705607";"Conceição do Tocantins (TO)";"2000"
"MU";"1706001";"Couto Magalhães (TO)";"4200"
"MU";"1706100";"Cristalândia (TO)";"4284"
"MU";"1706258";"Crixás do Tocantins (TO)";"2089"
"MU";"1706506";"Darcinópolis (TO)";"1143"
"MU";"1707009";"Dianópolis (TO)";"2900"
"MU";"1707108";"Divinópolis do Tocantins (TO)";"7140"
"MU";"1707207";"Dois Irmãos do Tocantins (TO)";"7650"
"MU";"1707306";"Dueré (TO)";"4286"
"MU";"1707405";"Esperantina (TO)";"1798"
"MU";"1707553";"Fátima (TO)";"1654"
"MU";"1707652";"Figueirópolis (TO)";"3793"
"MU";"1707702";"Filadélfia (TO)";"5975"
"MU";"1708205";"Formoso do Araguaia (TO)";"7634"
"MU";"1708254";"Fortaleza do Tabocão (TO)";"2420"
"MU";"1708304";"Goianorte (TO)";"6970"
"MU";"1709005";"Goiatins (TO)";"3518"
"MU";"1709302";"Guaraí (TO)";"7681"
"MU";"1709500";"Gurupi (TO)";"5333"
"MU";"1709807";"Ipueiras (TO)";"1135"
"MU";"1710508";"Itacajá (TO)";"6000"
"MU";"1710706";"Itaguatins (TO)";"3300"
"MU";"1710904";"Itapiratins (TO)";"3500"
"MU";"1711100";"Itaporã do Tocantins (TO)";"4800"
"MU";"1711506";"Jaú do Tocantins (TO)";"4417"
"MU";"1711803";"Juarina (TO)";"1810"
"MU";"1711902";"Lagoa da Confusão (TO)";"4581"
"MU";"1711951";"Lagoa do Tocantins (TO)";"885"
"MU";"1712009";"Lajeado (TO)";"445"
"MU";"1712157";"Lavandeira (TO)";"1580"
"MU";"1712405";"Lizarda (TO)";"1002"
"MU";"1712454";"Luzinópolis (TO)";"754"
"MU";"1712504";"Marianópolis do Tocantins (TO)";"3868"
"MU";"1712702";"Mateiros (TO)";"431"
"MU";"1712801";"Maurilândia do Tocantins (TO)";"1264"
"MU";"1713205";"Miracema do Tocantins (TO)";"8394"
"MU";"1713304";"Miranorte (TO)";"5461"
"MU";"1713601";"Monte do Carmo (TO)";"7624"
"MU";"1713700";"Monte Santo do Tocantins (TO)";"3392"
"MU";"1713809";"Palmeiras do Tocantins (TO)";"1976"
"MU";"1713957";"Muricilândia (TO)";"2550"
"MU";"1714203";"Natividade (TO)";"3620"
"MU";"1714302";"Nazaré (TO)";"1366"
"MU";"1714880";"Nova Olinda (TO)";"4100"
"MU";"1715002";"Nova Rosalândia (TO)";"1761"
"MU";"1715101";"Novo Acordo (TO)";"1218"
"MU";"1715150";"Novo Alegre (TO)";"900"
"MU";"1715259";"Novo Jardim (TO)";"1050"
"MU";"1715507";"Oliveira de Fátima (TO)";"814"
"MU";"1715705";"Palmeirante (TO)";"4000"
"MU";"1715754";"Palmeirópolis (TO)";"3421"
"MU";"1716109";"Paraíso do Tocantins (TO)";"6355"
"MU";"1716208";"Paranã (TO)";"5408"
"MU";"1716307";"Pau D'Arco (TO)";"3220"
"MU";"1716505";"Pedro Afonso (TO)";"1470"
"MU";"1716604";"Peixe (TO)";"6325"
"MU";"1716653";"Pequizeiro (TO)";"4800"
"MU";"1716703";"Colméia (TO)";"5800"
"MU";"1717008";"Pindorama do Tocantins (TO)";"3750"
"MU";"1717206";"Piraquê (TO)";"2798"
"MU";"1717503";"Pium (TO)";"6638"
"MU";"1717800";"Ponte Alta do Bom Jesus (TO)";"2100"
"MU";"1717909";"Ponte Alta do Tocantins (TO)";"4467"
"MU";"1718006";"Porto Alegre do Tocantins (TO)";"550"
"MU";"1718204";"Porto Nacional (TO)";"6982"
"MU";"1718303";"Praia Norte (TO)";"1058"
"MU";"1718402";"Presidente Kennedy (TO)";"2600"
"MU";"1718451";"Pugmil (TO)";"1432"
"MU";"1718501";"Recursolândia (TO)";"2003"
"MU";"1718550";"Riachinho (TO)";"1598"
"MU";"1718659";"Rio da Conceição (TO)";"90"
"MU";"1718709";"Rio dos Bois (TO)";"784"
"MU";"1718758";"Rio Sono (TO)";"3180"
"MU";"1718808";"Sampaio (TO)";"585"
"MU";"1718840";"Sandolândia (TO)";"8140"
"MU";"1718865";"Santa Fé do Araguaia (TO)";"3430"
"MU";"1718881";"Santa Maria do Tocantins (TO)";"1798"
"MU";"1718899";"Santa Rita do Tocantins (TO)";"5582"
"MU";"1718907";"Santa Rosa do Tocantins (TO)";"2058"
"MU";"1719004";"Santa Tereza do Tocantins (TO)";"1467"
"MU";"1720002";"Santa Terezinha do Tocantins (TO)";"703"
"MU";"1720101";"São Bento do Tocantins (TO)";"1391"
"MU";"1720150";"São Félix do Tocantins (TO)";"378"
"MU";"1720200";"São Miguel do Tocantins (TO)";"1130"
"MU";"1720259";"São Salvador do Tocantins (TO)";"1514"
"MU";"1720309";"São Sebastião do Tocantins (TO)";"1170"
"MU";"1720499";"São Valério (TO)";"2247"
"MU";"1720655";"Silvanópolis (TO)";"2816"
"MU";"1720804";"Sítio Novo do Tocantins (TO)";"2132"
"MU";"1720853";"Sucupira (TO)";"1587"
"MU";"1720903";"Taguatinga (TO)";"7050"
"MU";"1720937";"Taipas do Tocantins (TO)";"1400"
"MU";"1720978";"Talismã (TO)";"3608"
"MU";"1721000";"Palmas (TO)";"1578"
"MU";"1721109";"Tocantínia (TO)";"974"
"MU";"1721208";"Tocantinópolis (TO)";"1321"
"MU";"1721257";"Tupirama (TO)";"294"
"MU";"1721307";"Tupiratins (TO)";"1300"
"MU";"1722081";"Wanderlândia (TO)";"1720"
"MU";"1722107";"Xambioá (TO)";"2470"
"MU";"2100055";"Açailândia (MA)";"59399"
"MU";"2100105";"Afonso Cunha (MA)";"110"
"MU";"2100154";"Água Doce do Maranhão (MA)";"290"
"MU";"2100204";"Alcântara (MA)";"..."
"MU";"2100303";"Aldeias Altas (MA)";"240"
"MU";"2100402";"Altamira do Maranhão (MA)";"967"
"MU";"2100436";"Alto Alegre do Maranhão (MA)";"802"
"MU";"2100477";"Alto Alegre do Pindaré (MA)";"2216"
"MU";"2100501";"Alto Parnaíba (MA)";"1312"
"MU";"2100550";"Amapá do Maranhão (MA)";"859"
"MU";"2100600";"Amarante do Maranhão (MA)";"22913"
"MU";"2100709";"Anajatuba (MA)";"1668"
"MU";"2100808";"Anapurus (MA)";"150"
"MU";"2100832";"Apicum-Açu (MA)";"18"
"MU";"2100873";"Araguanã (MA)";"834"
"MU";"2100907";"Araioses (MA)";"2800"
"MU";"2100956";"Arame (MA)";"10037"
"MU";"2101004";"Arari (MA)";"1478"
"MU";"2101103";"Axixá (MA)";"161"
"MU";"2101202";"Bacabal (MA)";"3512"
"MU";"2101251";"Bacabeira (MA)";"195"
"MU";"2101301";"Bacuri (MA)";"39"
"MU";"2101350";"Bacurituba (MA)";"341"
"MU";"2101400";"Balsas (MA)";"2573"
"MU";"2101509";"Barão de Grajaú (MA)";"1068"
"MU";"2101608";"Barra do Corda (MA)";"12979"
"MU";"2101707";"Barreirinhas (MA)";"810"
"MU";"2101731";"Belágua (MA)";"180"
"MU";"2101772";"Bela Vista do Maranhão (MA)";"2154"
"MU";"2101806";"Benedito Leite (MA)";"1896"
"MU";"2101905";"Bequimão (MA)";"488"
"MU";"2101939";"Bernardo do Mearim (MA)";"4065"
"MU";"2101970";"Boa Vista do Gurupi (MA)";"737"
"MU";"2102002";"Bom Jardim (MA)";"3883"
"MU";"2102036";"Bom Jesus das Selvas (MA)";"12521"
"MU";"2102077";"Bom Lugar (MA)";"1854"
"MU";"2102101";"Brejo (MA)";"680"
"MU";"2102150";"Brejo de Areia (MA)";"1100"
"MU";"2102200";"Buriti (MA)";"700"
"MU";"2102309";"Buriti Bravo (MA)";"745"
"MU";"2102325";"Buriticupu (MA)";"7269"
"MU";"2102358";"Buritirana (MA)";"6229"
"MU";"2102374";"Cachoeira Grande (MA)";"27"
"MU";"2102408";"Cajapió (MA)";"496"
"MU";"2102507";"Cajari (MA)";"796"
"MU";"2102556";"Campestre do Maranhão (MA)";"4156"
"MU";"2102606";"Cândido Mendes (MA)";"611"
"MU";"2102705";"Cantanhede (MA)";"1019"
"MU";"2102754";"Capinzal do Norte (MA)";"4411"
"MU";"2102804";"Carolina (MA)";"7201"
