"Tabela 94 - Vacas ordenhadas"
"Variável - Vacas ordenhadas (Cabeças)"
"Nível";"Cód.";"Município";"Ano"
"MU";"3158953";"Santana do Paraíso (MG)";"945"
"MU";"3159001";"Santana do Riacho (MG)";"1395"
"MU";"3159100";"Santana dos Montes (MG)";"2190"
"MU";"3159209";"Santa Rita de Caldas (MG)";"9300"
"MU";"3159308";"Santa Rita de Jacutinga (MG)";"8000"
"MU";"3159357";"Santa Rita de Minas (MG)";"1013"
"MU";"3159407";"Santa Rita de Ibitipoca (MG)";"4530"
"MU";"3159506";"Santa Rita do Itueto (MG)";"3915"
"MU";"3159605";"Santa Rita do Sapucaí (MG)";"12372"
"MU";"3159704";"Santa Rosa da Serra (MG)";"2915"
"MU";"3159803";"Santa Vitória (MG)";"24000"
"MU";"3159902";"Santo Antônio do Amparo (MG)";"3600"
"MU";"3160009";"Santo Antônio do Aventureiro (MG)";"1760"
"MU";"3160108";"Santo Antônio do Grama (MG)";"1718"
"MU";"3160207";"Santo Antônio do Itambé (MG)";"4398"
"MU";"3160306";"Santo Antônio do Jacinto (MG)";"8222"
"MU";"3160405";"Santo Antônio do Monte (MG)";"36000"
"MU";"3160454";"Santo Antônio do Retiro (MG)";"629"
"MU";"3160504";"Santo Antônio do Rio Abaixo (MG)";"2025"
"MU";"3160603";"Santo Hipólito (MG)";"10381"
"MU";"3160702";"Santos Dumont (MG)";"6125"
"MU";"3160801";"São Bento Abade (MG)";"878"
"MU";"3160900";"São Brás do Suaçuí (MG)";"1550"
"MU";"3160959";"São Domingos das Dores (MG)";"162"
"MU";"3161007";"São Domingos do Prata (MG)";"6870"
"MU";"3161056";"São Félix de Minas (MG)";"3582"
"MU";"3161106";"São Francisco (MG)";"20116"
"MU";"3161205";"São Francisco de Paula (MG)";"3150"
"MU";"3161304";"São Francisco de Sales (MG)";"20500"
"MU";"3161403";"São Francisco do Glória (MG)";"2799"
"MU";"3161502";"São Geraldo (MG)";"1545"
"MU";"3161601";"São Geraldo da Piedade (MG)";"2723"
"MU";"3161650";"São Geraldo do Baixio (MG)";"4651"
"MU";"3161700";"São Gonçalo do Abaeté (MG)";"4687"
"MU";"3161809";"São Gonçalo do Pará (MG)";"5480"
"MU";"3161908";"São Gonçalo do Rio Abaixo (MG)";"3265"
"MU";"3162005";"São Gonçalo do Sapucaí (MG)";"9800"
"MU";"3162104";"São Gotardo (MG)";"25612"
"MU";"3162203";"São João Batista do Glória (MG)";"15600"
"MU";"3162252";"São João da Lagoa (MG)";"4250"
"MU";"3162302";"São João da Mata (MG)";"2918"
"MU";"3162401";"São João da Ponte (MG)";"8196"
"MU";"3162450";"São João das Missões (MG)";"1117"
"MU";"3162500";"São João del Rei (MG)";"17243"
"MU";"3162559";"São João do Manhuaçu (MG)";"800"
"MU";"3162575";"São João do Manteninha (MG)";"5976"
"MU";"3162609";"São João do Oriente (MG)";"4511"
"MU";"3162658";"São João do Pacuí (MG)";"3270"
"MU";"3162708";"São João do Paraíso (MG)";"3487"
"MU";"3162807";"São João Evangelista (MG)";"8890"
"MU";"3162906";"São João Nepomuceno (MG)";"7756"
"MU";"3162922";"São Joaquim de Bicas (MG)";"900"
"MU";"3162948";"São José da Barra (MG)";"5200"
"MU";"3162955";"São José da Lapa (MG)";"530"
"MU";"3163003";"São José da Safira (MG)";"2569"
"MU";"3163102";"São José da Varginha (MG)";"3596"
"MU";"3163201";"São José do Alegre (MG)";"4018"
"MU";"3163300";"São José do Divino (MG)";"6634"
"MU";"3163409";"São José do Goiabal (MG)";"2057"
"MU";"3163508";"São José do Jacuri (MG)";"4250"
"MU";"3163607";"São José do Mantimento (MG)";"1000"
"MU";"3163706";"São Lourenço (MG)";"818"
"MU";"3163805";"São Miguel do Anta (MG)";"1415"
"MU";"3163904";"São Pedro da União (MG)";"4996"
"MU";"3164001";"São Pedro dos Ferros (MG)";"3108"
"MU";"3164100";"São Pedro do Suaçuí (MG)";"5950"
"MU";"3164209";"São Romão (MG)";"2519"
"MU";"3164308";"São Roque de Minas (MG)";"17378"
"MU";"3164407";"São Sebastião da Bela Vista (MG)";"3964"
"MU";"3164431";"São Sebastião da Vargem Alegre (MG)";"1213"
"MU";"3164472";"São Sebastião do Anta (MG)";"854"
"MU";"3164506";"São Sebastião do Maranhão (MG)";"5740"
"MU";"3164605";"São Sebastião do Oeste (MG)";"10000"
"MU";"3164704";"São Sebastião do Paraíso (MG)";"17500"
"MU";"3164803";"São Sebastião do Rio Preto (MG)";"1262"
"MU";"3164902";"São Sebastião do Rio Verde (MG)";"2001"
"MU";"3165008";"São Tiago (MG)";"10369"
"MU";"3165107";"São Tomás de Aquino (MG)";"4210"
"MU";"3165206";"São Thomé das Letras (MG)";"4292"
"MU";"3165305";"São Vicente de Minas (MG)";"6519"
"MU";"3165404";"Sapucaí-Mirim (MG)";"2981"
"MU";"3165503";"Sardoá (MG)";"1069"
"MU";"3165537";"Sarzedo (MG)";"420"
"MU";"3165552";"Setubinha (MG)";"1120"
"MU";"3165560";"Sem-Peixe (MG)";"2135"
"MU";"3165578";"Senador Amaral (MG)";"2400"
"MU";"3165602";"Senador Cortes (MG)";"2156"
"MU";"3165701";"Senador Firmino (MG)";"1396"
"MU";"3165800";"Senador José Bento (MG)";"1700"
"MU";"3165909";"Senador Modestino Gonçalves (MG)";"2730"
"MU";"3166006";"Senhora de Oliveira (MG)";"984"
"MU";"3166105";"Senhora do Porto (MG)";"3800"
"MU";"3166204";"Senhora dos Remédios (MG)";"4862"
"MU";"3166303";"Sericita (MG)";"937"
"MU";"3166402";"Seritinga (MG)";"1620"
"MU";"3166501";"Serra Azul de Minas (MG)";"2275"
"MU";"3166600";"Serra da Saudade (MG)";"875"
"MU";"3166709";"Serra dos Aimorés (MG)";"4142"
"MU";"3166808";"Serra do Salitre (MG)";"15500"
"MU";"3166907";"Serrania (MG)";"4500"
"MU";"3166956";"Serranópolis de Minas (MG)";"1950"
"MU";"3167004";"Serranos (MG)";"3881"
"MU";"3167103";"Serro (MG)";"11075"
"MU";"3167202";"Sete Lagoas (MG)";"4190"
"MU";"3167301";"Silveirânia (MG)";"3129"
"MU";"3167400";"Silvianópolis (MG)";"8629"
"MU";"3167509";"Simão Pereira (MG)";"1750"
"MU";"3167608";"Simonésia (MG)";"2250"
"MU";"3167707";"Sobrália (MG)";"3994"
"MU";"3167806";"Soledade de Minas (MG)";"4265"
"MU";"3167905";"Tabuleiro (MG)";"4586"
"MU";"3168002";"Taiobeiras (MG)";"2390"
"MU";"3168051";"Taparuba (MG)";"4962"
"MU";"3168101";"Tapira (MG)";"16290"
"MU";"3168200";"Tapiraí (MG)";"3417"
"MU";"3168309";"Taquaraçu de Minas (MG)";"2079"
"MU";"3168408";"Tarumirim (MG)";"20769"
"MU";"3168507";"Teixeiras (MG)";"1830"
"MU";"3168606";"Teófilo Otoni (MG)";"40100"
"MU";"3168705";"Timóteo (MG)";"134"
"MU";"3168804";"Tiradentes (MG)";"1195"
"MU";"3168903";"Tiros (MG)";"30256"
"MU";"3169000";"Tocantins (MG)";"2951"
"MU";"3169059";"Tocos do Moji (MG)";"3376"
"MU";"3169109";"Toledo (MG)";"2500"
"MU";"3169208";"Tombos (MG)";"6855"
"MU";"3169307";"Três Corações (MG)";"16687"
"MU";"3169356";"Três Marias (MG)";"18496"
"MU";"3169406";"Três Pontas (MG)";"7335"
"MU";"3169505";"Tumiritinga (MG)";"6729"
"MU";"3169604";"Tupaciguara (MG)";"32974"
"MU";"3169703";"Turmalina (MG)";"1030"
"MU";"3169802";"Turvolândia (MG)";"4896"
"MU";"3169901";"Ubá (MG)";"4616"
"MU";"3170008";"Ubaí (MG)";"5270"
"MU";"3170057";"Ubaporanga (MG)";"2268"
"MU";"3170107";"Uberaba (MG)";"36800"
"MU";"3170206";"Uberlândia (MG)";"33500"
"MU";"3170305";"Umburatiba (MG)";"6061"
"MU";"3170404";"Unaí (MG)";"34500"
"MU";"3170438";"União de Minas (MG)";"27000"
"MU";"3170479";"Uruana de Minas (MG)";"1480"
"MU";"3170503";"Urucânia (MG)";"1730"
"MU";"3170529";"Urucuia (MG)";"3815"
"MU";"3170578";"Vargem Alegre (MG)";"3238"
"MU";"3170602";"Vargem Bonita (MG)";"3193"
"MU";"3170651";"Vargem Grande do Rio Pardo (MG)";"730"
"MU";"3170701";"Varginha (MG)";"6295"
"MU";"3170750";"Varjão de Minas (MG)";"4802"
"MU";"3170800";"Várzea da Palma (MG)";"5026"
"MU";"3170909";"Varzelândia (MG)";"4701"
"MU";"3171006";"Vazante (MG)";"17015"
"MU";"3171030";"Verdelândia (MG)";"12500"
"MU";"3171071";"Veredinha (MG)";"400"
"MU";"3171105";"Veríssimo (MG)";"7230"
"MU";"3171154";"Vermelho Novo (MG)";"1286"
"MU";"3171204";"Vespasiano (MG)";"450"
"MU";"3171303";"Viçosa (MG)";"3650"
"MU";"3171402";"Vieiras (MG)";"2400"
"MU";"3171501";"Mathias Lobato (MG)";"2211"
"MU";"3171600";"Virgem da Lapa (MG)";"3310"
"MU";"3171709";"Virgínia (MG)";"8800"
"MU";"3171808";"Virginópolis (MG)";"4630"
"MU";"3171907";"Virgolândia (MG)";"5165"
"MU";"3172004";"Visconde do Rio Branco (MG)";"2925"
"MU";"3172103";"Volta Grande (MG)";"2280"
"MU";"3172202";"Wenceslau Braz (MG)";"3782"
"MU";"3200102";"Afonso Cláudio (ES)";"5348"
"MU";"3200136";"Águia Branca (ES)";"4371"
"MU";"3200169";"Água Doce do Norte (ES)";"5500"
"MU";"3200201";"Alegre (ES)";"10688"
"MU";"3200300";"Alfredo Chaves (ES)";"4420"
"MU";"3200359";"Alto Rio Novo (ES)";"2400"
"MU";"3200409";"Anchieta (ES)";"3750"
"MU";"3200508";"Apiacá (ES)";"3235"
"MU";"3200607";"Aracruz (ES)";"8421"
"MU";"3200706";"Atílio Vivacqua (ES)";"4957"
"MU";"3200805";"Baixo Guandu (ES)";"13490"
"MU";"3200904";"Barra de São Francisco (ES)";"17906"
"MU";"3201001";"Boa Esperança (ES)";"2795"
"MU";"3201100";"Bom Jesus do Norte (ES)";"1592"
"MU";"3201159";"Brejetuba (ES)";"718"
"MU";"3201209";"Cachoeiro de Itapemirim (ES)";"13569"
"MU";"3201308";"Cariacica (ES)";"1335"
"MU";"3201407";"Castelo (ES)";"6655"
"MU";"3201506";"Colatina (ES)";"17800"
"MU";"3201605";"Conceição da Barra (ES)";"935"
"MU";"3201704";"Conceição do Castelo (ES)";"1725"
"MU";"3201803";"Divino de São Lourenço (ES)";"1565"
"MU";"3201902";"Domingos Martins (ES)";"1350"
"MU";"3202009";"Dores do Rio Preto (ES)";"1364"
"MU";"3202108";"Ecoporanga (ES)";"52050"
"MU";"3202207";"Fundão (ES)";"2854"
"MU";"3202256";"Governador Lindenberg (ES)";"1299"
"MU";"3202306";"Guaçuí (ES)";"5934"
"MU";"3202405";"Guarapari (ES)";"3890"
"MU";"3202454";"Ibatiba (ES)";"700"
"MU";"3202504";"Ibiraçu (ES)";"1689"
"MU";"3202553";"Ibitirama (ES)";"2320"
"MU";"3202603";"Iconha (ES)";"2600"
"MU";"3202652";"Irupi (ES)";"598"
"MU";"3202702";"Itaguaçu (ES)";"4707"
"MU";"3202801";"Itapemirim (ES)";"7800"
"MU";"3202900";"Itarana (ES)";"2340"
"MU";"3203007";"Iúna (ES)";"2400"
"MU";"3203056";"Jaguaré (ES)";"1420"
"MU";"3203106";"Jerônimo Monteiro (ES)";"3267"
"MU";"3203130";"João Neiva (ES)";"3633"
"MU";"3203163";"Laranja da Terra (ES)";"3043"
"MU";"3203205";"Linhares (ES)";"32153"
"MU";"3203304";"Mantenópolis (ES)";"3150"
"MU";"3203320";"Marataízes (ES)";"340"
"MU";"3203346";"Marechal Floriano (ES)";"127"
"MU";"3203353";"Marilândia (ES)";"2580"
"MU";"3203403";"Mimoso do Sul (ES)";"10989"
"MU";"3203502";"Montanha (ES)";"8250"
"MU";"3203601";"Mucurici (ES)";"7565"
"MU";"3203700";"Muniz Freire (ES)";"5856"
"MU";"3203809";"Muqui (ES)";"4183"
"MU";"3203908";"Nova Venécia (ES)";"13200"
"MU";"3204005";"Pancas (ES)";"6888"
"MU";"3204054";"Pedro Canário (ES)";"5300"
"MU";"3204104";"Pinheiros (ES)";"8950"
"MU";"3204203";"Piúma (ES)";"810"
"MU";"3204252";"Ponto Belo (ES)";"4850"
"MU";"3204302";"Presidente Kennedy (ES)";"11500"
"MU";"3204351";"Rio Bananal (ES)";"2614"
"MU";"3204401";"Rio Novo do Sul (ES)";"4100"
"MU";"3204500";"Santa Leopoldina (ES)";"3481"
"MU";"3204559";"Santa Maria de Jetibá (ES)";"420"
"MU";"3204609";"Santa Teresa (ES)";"2225"
"MU";"3204658";"São Domingos do Norte (ES)";"5141"
"MU";"3204708";"São Gabriel da Palha (ES)";"4013"
"MU";"3204807";"São José do Calçado (ES)";"4250"
"MU";"3204906";"São Mateus (ES)";"8590"
"MU";"3204955";"São Roque do Canaã (ES)";"2470"
"MU";"3205002";"Serra (ES)";"5117"
"MU";"3205010";"Sooretama (ES)";"2769"
"MU";"3205036";"Vargem Alta (ES)";"1437"
"MU";"3205069";"Venda Nova do Imigrante (ES)";"718"
"MU";"3205101";"Viana (ES)";"5100"
"MU";"3205150";"Vila Pavão (ES)";"2675"
"MU";"3205176";"Vila Valério (ES)";"1779"
"MU";"3205200";"Vila Velha (ES)";"1788"
"MU";"3205309";"Vitória (ES)";"44"
"MU";"3300100";"Angra dos Reis (RJ)";"67"
"MU";"3300159";"Aperibé (RJ)";"3260"
"MU";"3300209";"Araruama (RJ)";"2985"
"MU";"3300225";"Areal (RJ)";"790"
"MU";"3300233";"Armação dos Búzios (RJ)";"190"
"MU";"3300258";"Arraial do Cabo (RJ)";"..."
"MU";"3300308";"Barra do Piraí (RJ)";"7654"
"MU";"3300407";"Barra Mansa (RJ)";"9400"
"MU";"3300456";"Belford Roxo (RJ)";"30"
"MU";"3300506";"Bom Jardim (RJ)";"3385"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"16900"
"MU";"3300704";"Cabo Frio (RJ)";"1700"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"4500"
"MU";"3300902";"Cambuci (RJ)";"9100"
"MU";"3300936";"Carapebus (RJ)";"1400"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"700"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"28417"
"MU";"3301108";"Cantagalo (RJ)";"18457"
"MU";"3301157";"Cardoso Moreira (RJ)";"5000"
"MU";"3301207";"Carmo (RJ)";"8291"
"MU";"3301306";"Casimiro de Abreu (RJ)";"1200"
"MU";"3301405";"Conceição de Macabu (RJ)";"2000"
"MU";"3301504";"Cordeiro (RJ)";"2687"
"MU";"3301603";"Duas Barras (RJ)";"7980"
"MU";"3301702";"Duque de Caxias (RJ)";"330"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"367"
"MU";"3301850";"Guapimirim (RJ)";"2500"
"MU";"3301876";"Iguaba Grande (RJ)";"155"
"MU";"3301900";"Itaboraí (RJ)";"557"
"MU";"3302007";"Itaguaí (RJ)";"559"
"MU";"3302056";"Italva (RJ)";"7650"
"MU";"3302106";"Itaocara (RJ)";"13000"
"MU";"3302205";"Itaperuna (RJ)";"25725"
"MU";"3302254";"Itatiaia (RJ)";"1800"
"MU";"3302270";"Japeri (RJ)";"340"
"MU";"3302304";"Laje do Muriaé (RJ)";"4000"
"MU";"3302403";"Macaé (RJ)";"2000"
"MU";"3302452";"Macuco (RJ)";"3226"
"MU";"3302502";"Magé (RJ)";"1500"
"MU";"3302601";"Mangaratiba (RJ)";"235"
"MU";"3302700";"Maricá (RJ)";"412"
"MU";"3302809";"Mendes (RJ)";"129"
"MU";"3302858";"Mesquita (RJ)";"10"
"MU";"3302908";"Miguel Pereira (RJ)";"5980"
"MU";"3303005";"Miracema (RJ)";"7930"
"MU";"3303104";"Natividade (RJ)";"6000"
"MU";"3303203";"Nilópolis (RJ)";"..."
"MU";"3303302";"Niterói (RJ)";"6"
"MU";"3303401";"Nova Friburgo (RJ)";"2189"
"MU";"3303500";"Nova Iguaçu (RJ)";"550"
"MU";"3303609";"Paracambi (RJ)";"465"
"MU";"3303708";"Paraíba do Sul (RJ)";"6760"
"MU";"3303807";"Paraty (RJ)";"105"
"MU";"3303856";"Paty do Alferes (RJ)";"2432"
"MU";"3303906";"Petrópolis (RJ)";"370"
"MU";"3303955";"Pinheiral (RJ)";"1180"
"MU";"3304003";"Piraí (RJ)";"3213"
"MU";"3304102";"Porciúncula (RJ)";"8750"
"MU";"3304110";"Porto Real (RJ)";"2000"
"MU";"3304128";"Quatis (RJ)";"3750"
"MU";"3304144";"Queimados (RJ)";"150"
"MU";"3304151";"Quissamã (RJ)";"2200"
"MU";"3304201";"Resende (RJ)";"15000"
"MU";"3304300";"Rio Bonito (RJ)";"974"
"MU";"3304409";"Rio Claro (RJ)";"6900"
"MU";"3304508";"Rio das Flores (RJ)";"6869"
"MU";"3304524";"Rio das Ostras (RJ)";"1160"
"MU";"3304557";"Rio de Janeiro (RJ)";"1609"
"MU";"3304607";"Santa Maria Madalena (RJ)";"11601"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"11470"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"35000"
"MU";"3304805";"São Fidélis (RJ)";"19400"
"MU";"3304904";"São Gonçalo (RJ)";"120"
"MU";"3305000";"São João da Barra (RJ)";"1850"
"MU";"3305109";"São João de Meriti (RJ)";"..."
"MU";"3305133";"São José de Ubá (RJ)";"7800"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"860"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"725"
"MU";"3305307";"São Sebastião do Alto (RJ)";"6700"
"MU";"3305406";"Sapucaia (RJ)";"3300"
"MU";"3305505";"Saquarema (RJ)";"970"
"MU";"3305554";"Seropédica (RJ)";"410"
"MU";"3305604";"Silva Jardim (RJ)";"1525"
"MU";"3305703";"Sumidouro (RJ)";"5084"
"MU";"3305752";"Tanguá (RJ)";"937"
"MU";"3305802";"Teresópolis (RJ)";"270"
"MU";"3305901";"Trajano de Moraes (RJ)";"5151"
"MU";"3306008";"Três Rios (RJ)";"1820"
"MU";"3306107";"Valença (RJ)";"28500"
"MU";"3306156";"Varre-Sai (RJ)";"3110"
"MU";"3306206";"Vassouras (RJ)";"6600"
"MU";"3306305";"Volta Redonda (RJ)";"1150"
"MU";"3500105";"Adamantina (SP)";"1950"
"MU";"3500204";"Adolfo (SP)";"1050"
"MU";"3500303";"Aguaí (SP)";"2310"
"MU";"3500402";"Águas da Prata (SP)";"2419"
"MU";"3500501";"Águas de Lindóia (SP)";"450"
"MU";"3500550";"Águas de Santa Bárbara (SP)";"771"
"MU";"3500600";"Águas de São Pedro (SP)";"..."
"MU";"3500709";"Agudos (SP)";"1600"
"MU";"3500758";"Alambari (SP)";"1460"
"MU";"3500808";"Alfredo Marcondes (SP)";"2900"
"MU";"3500907";"Altair (SP)";"1064"
"MU";"3501004";"Altinópolis (SP)";"2800"
"MU";"3501103";"Alto Alegre (SP)";"3325"
"MU";"3501152";"Alumínio (SP)";"234"
"MU";"3501202";"Álvares Florence (SP)";"9000"
"MU";"3501301";"Álvares Machado (SP)";"2690"
"MU";"3501400";"Álvaro de Carvalho (SP)";"607"
"MU";"3501509";"Alvinlândia (SP)";"500"
"MU";"3501608";"Americana (SP)";"100"
"MU";"3501707";"Américo Brasiliense (SP)";"194"
"MU";"3501806";"Américo de Campos (SP)";"2200"
"MU";"3501905";"Amparo (SP)";"2465"
"MU";"3502002";"Analândia (SP)";"130"
"MU";"3502101";"Andradina (SP)";"5363"
"MU";"3502200";"Angatuba (SP)";"13150"
"MU";"3502309";"Anhembi (SP)";"..."
"MU";"3502408";"Anhumas (SP)";"7950"
"MU";"3502507";"Aparecida (SP)";"652"
"MU";"3502606";"Aparecida d'Oeste (SP)";"1662"
"MU";"3502705";"Apiaí (SP)";"130"
"MU";"3502754";"Araçariguama (SP)";"304"
"MU";"3502804";"Araçatuba (SP)";"1760"
"MU";"3502903";"Araçoiaba da Serra (SP)";"2430"
"MU";"3503000";"Aramina (SP)";"251"
"MU";"3503109";"Arandu (SP)";"832"
"MU";"3503158";"Arapeí (SP)";"1850"
"MU";"3503208";"Araraquara (SP)";"3290"
"MU";"3503307";"Araras (SP)";"2000"
"MU";"3503356";"Arco-Íris (SP)";"200"
"MU";"3503406";"Arealva (SP)";"920"
"MU";"3503505";"Areias (SP)";"5800"
"MU";"3503604";"Areiópolis (SP)";"120"
"MU";"3503703";"Ariranha (SP)";"206"
"MU";"3503802";"Artur Nogueira (SP)";"1135"
"MU";"3503901";"Arujá (SP)";"33"
"MU";"3503950";"Aspásia (SP)";"1773"
"MU";"3504008";"Assis (SP)";"1995"
"MU";"3504107";"Atibaia (SP)";"3000"
"MU";"3504206";"Auriflama (SP)";"3970"
"MU";"3504305";"Avaí (SP)";"1275"
"MU";"3504404";"Avanhandava (SP)";"2345"
"MU";"3504503";"Avaré (SP)";"3250"
"MU";"3504602";"Bady Bassitt (SP)";"1340"
"MU";"3504701";"Balbinos (SP)";"545"
"MU";"3504800";"Bálsamo (SP)";"925"
"MU";"3504909";"Bananal (SP)";"8900"
"MU";"3505005";"Barão de Antonina (SP)";"1500"
"MU";"3505104";"Barbosa (SP)";"2415"
"MU";"3505203";"Bariri (SP)";"1980"
"MU";"3505302";"Barra Bonita (SP)";"250"
"MU";"3505351";"Barra do Chapéu (SP)";"250"
"MU";"3505401";"Barra do Turvo (SP)";"780"
"MU";"3505500";"Barretos (SP)";"1795"
"MU";"3505609";"Barrinha (SP)";"240"
"MU";"3505708";"Barueri (SP)";"..."
"MU";"3505807";"Bastos (SP)";"770"
"MU";"3505906";"Batatais (SP)";"2990"
"MU";"3506003";"Bauru (SP)";"958"
"MU";"3506102";"Bebedouro (SP)";"2120"
"MU";"3506201";"Bento de Abreu (SP)";"36"
"MU";"3506300";"Bernardino de Campos (SP)";"2965"
"MU";"3506359";"Bertioga (SP)";"..."
"MU";"3506409";"Bilac (SP)";"1060"
"MU";"3506508";"Birigui (SP)";"5600"
"MU";"3506607";"Biritiba Mirim (SP)";"358"
"MU";"3506706";"Boa Esperança do Sul (SP)";"2510"
"MU";"3506805";"Bocaina (SP)";"1120"
"MU";"3506904";"Bofete (SP)";"3206"
"MU";"3507001";"Boituva (SP)";"1211"
"MU";"3507100";"Bom Jesus dos Perdões (SP)";"380"
"MU";"3507159";"Bom Sucesso de Itararé (SP)";"170"
"MU";"3507209";"Borá (SP)";"1344"
"MU";"3507308";"Boracéia (SP)";"480"
"MU";"3507407";"Borborema (SP)";"770"
"MU";"3507456";"Borebi (SP)";"274"
"MU";"3507506";"Botucatu (SP)";"3200"
"MU";"3507605";"Bragança Paulista (SP)";"4600"
"MU";"3507704";"Braúna (SP)";"1320"
"MU";"3507753";"Brejo Alegre (SP)";"365"
"MU";"3507803";"Brodowski (SP)";"550"
"MU";"3507902";"Brotas (SP)";"3480"
"MU";"3508009";"Buri (SP)";"3200"
"MU";"3508108";"Buritama (SP)";"2280"
"MU";"3508207";"Buritizal (SP)";"1197"
"MU";"3508306";"Cabrália Paulista (SP)";"772"
"MU";"3508405";"Cabreúva (SP)";"700"
"MU";"3508504";"Caçapava (SP)";"4000"
"MU";"3508603";"Cachoeira Paulista (SP)";"7600"
"MU";"3508702";"Caconde (SP)";"3000"
"MU";"3508801";"Cafelândia (SP)";"556"
"MU";"3508900";"Caiabu (SP)";"1900"
"MU";"3509007";"Caieiras (SP)";"..."
"MU";"3509106";"Caiuá (SP)";"2376"
"MU";"3509205";"Cajamar (SP)";"..."
"MU";"3509254";"Cajati (SP)";"..."
"MU";"3509304";"Cajobi (SP)";"480"
"MU";"3509403";"Cajuru (SP)";"5115"
"MU";"3509452";"Campina do Monte Alegre (SP)";"3180"
"MU";"3509502";"Campinas (SP)";"5000"
"MU";"3509601";"Campo Limpo Paulista (SP)";"15"
"MU";"3509700";"Campos do Jordão (SP)";"95"
"MU";"3509809";"Campos Novos Paulista (SP)";"961"
"MU";"3509908";"Cananéia (SP)";"50"
"MU";"3509957";"Canas (SP)";"970"
"MU";"3510005";"Cândido Mota (SP)";"680"
"MU";"3510104";"Cândido Rodrigues (SP)";"80"
"MU";"3510153";"Canitar (SP)";"100"
"MU";"3510203";"Capão Bonito (SP)";"2500"
"MU";"3510302";"Capela do Alto (SP)";"2360"
"MU";"3510401";"Capivari (SP)";"1200"
"MU";"3510500";"Caraguatatuba (SP)";"132"
"MU";"3510609";"Carapicuíba (SP)";"..."
"MU";"3510708";"Cardoso (SP)";"4000"
"MU";"3510807";"Casa Branca (SP)";"1600"
"MU";"3510906";"Cássia dos Coqueiros (SP)";"1954"
"MU";"3511003";"Castilho (SP)";"4490"
"MU";"3511102";"Catanduva (SP)";"1278"
"MU";"3511201";"Catiguá (SP)";"305"
"MU";"3511300";"Cedral (SP)";"2810"
"MU";"3511409";"Cerqueira César (SP)";"3717"
"MU";"3511508";"Cerquilho (SP)";"490"
"MU";"3511607";"Cesário Lange (SP)";"1390"
"MU";"3511706";"Charqueada (SP)";"863"
"MU";"3511904";"Clementina (SP)";"400"
"MU";"3512001";"Colina (SP)";"420"
"MU";"3512100";"Colômbia (SP)";"1484"
"MU";"3512209";"Conchal (SP)";"120"
"MU";"3512308";"Conchas (SP)";"4000"
"MU";"3512407";"Cordeirópolis (SP)";"251"
"MU";"3512506";"Coroados (SP)";"1330"
"MU";"3512605";"Coronel Macedo (SP)";"1500"
"MU";"3512704";"Corumbataí (SP)";"1420"
"MU";"3512803";"Cosmópolis (SP)";"57"
"MU";"3512902";"Cosmorama (SP)";"5000"
"MU";"3513009";"Cotia (SP)";"..."
"MU";"3513108";"Cravinhos (SP)";"1500"
"MU";"3513207";"Cristais Paulista (SP)";"2626"
"MU";"3513306";"Cruzália (SP)";"350"
"MU";"3513405";"Cruzeiro (SP)";"5000"
"MU";"3513504";"Cubatão (SP)";"..."
"MU";"3513603";"Cunha (SP)";"24834"
"MU";"3513702";"Descalvado (SP)";"9250"
"MU";"3513801";"Diadema (SP)";"..."
"MU";"3513850";"Dirce Reis (SP)";"2959"
"MU";"3513900";"Divinolândia (SP)";"850"
"MU";"3514007";"Dobrada (SP)";"55"
"MU";"3514106";"Dois Córregos (SP)";"1890"
"MU";"3514205";"Dolcinópolis (SP)";"1657"
"MU";"3514304";"Dourado (SP)";"450"
"MU";"3514403";"Dracena (SP)";"3400"
"MU";"3514502";"Duartina (SP)";"676"
"MU";"3514601";"Dumont (SP)";"140"
"MU";"3514700";"Echaporã (SP)";"1750"
"MU";"3514809";"Eldorado (SP)";"361"
"MU";"3514908";"Elias Fausto (SP)";"400"
"MU";"3514924";"Elisiário (SP)";"559"
"MU";"3514957";"Embaúba (SP)";"424"
"MU";"3515004";"Embu das Artes (SP)";"..."
"MU";"3515103";"Embu-Guaçu (SP)";"..."
"MU";"3515129";"Emilianópolis (SP)";"3500"
"MU";"3515152";"Engenheiro Coelho (SP)";"1387"
"MU";"3515186";"Espírito Santo do Pinhal (SP)";"6455"
"MU";"3515194";"Espírito Santo do Turvo (SP)";"925"
"MU";"3515202";"Estrela d'Oeste (SP)";"15000"
"MU";"3515301";"Estrela do Norte (SP)";"2100"
"MU";"3515350";"Euclides da Cunha Paulista (SP)";"5652"
"MU";"3515400";"Fartura (SP)";"4285"
"MU";"3515509";"Fernandópolis (SP)";"11125"
"MU";"3515608";"Fernando Prestes (SP)";"68"
"MU";"3515657";"Fernão (SP)";"400"
"MU";"3515707";"Ferraz de Vasconcelos (SP)";"4"
"MU";"3515806";"Flora Rica (SP)";"710"
