"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2013"
"Nível";"Cód.";"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Suíno - matrizes de suínos";"Caprino";"Ovino";"Galináceos - total";"Galináceos - galinhas";"Codornas"
"MU";"3171600";"Virgem da Lapa (MG)";"17215";"2";"815";"1970";"206";"141";"110";"14522";"2550";"-"
"MU";"3171709";"Virgínia (MG)";"25000";"-";"400";"3650";"600";"100";"50";"30000";"10000";"-"
"MU";"3171808";"Virginópolis (MG)";"17354";"940";"850";"2120";"350";"15";"-";"17520";"12540";"-"
"MU";"3171907";"Virgolândia (MG)";"16402";"-";"150";"2280";"350";"60";"50";"17800";"9000";"-"
"MU";"3172004";"Visconde do Rio Branco (MG)";"13185";"-";"507";"884";"68";"230";"291";"591388";"4112";"-"
"MU";"3172103";"Volta Grande (MG)";"11842";"-";"300";"88";"15";"45";"80";"750";"520";"-"
"MU";"3172202";"Wenceslau Braz (MG)";"7134";"-";"490";"1500";"350";"50";"-";"11000";"5700";"-"
"MU";"3200102";"Afonso Cláudio (ES)";"29862";"2";"3552";"7997";"1125";"343";"409";"60125";"23857";"-"
"MU";"3200136";"Águia Branca (ES)";"21103";"60";"640";"1145";"150";"400";"200";"7800";"3700";"-"
"MU";"3200169";"Água Doce do Norte (ES)";"29898";"-";"646";"600";"65";"180";"222";"7350";"2700";"-"
"MU";"3200201";"Alegre (ES)";"66679";"97";"2570";"3228";"456";"490";"498";"22441";"6292";"1300"
"MU";"3200300";"Alfredo Chaves (ES)";"13245";"9";"276";"2000";"540";"130";"92";"303145";"44060";"-"
"MU";"3200359";"Alto Rio Novo (ES)";"9135";"-";"370";"700";"100";"70";"130";"6850";"3420";"-"
"MU";"3200409";"Anchieta (ES)";"25450";"10";"508";"900";"220";"86";"173";"13000";"6000";"-"
"MU";"3200508";"Apiacá (ES)";"16705";"10";"478";"313";"58";"35";"221";"3995";"1284";"43"
"MU";"3200607";"Aracruz (ES)";"43923";"578";"1096";"8850";"900";"91";"1583";"18922";"7463";"-"
"MU";"3200706";"Atílio Vivacqua (ES)";"23132";"-";"762";"1953";"242";"220";"165";"13928";"1425";"-"
"MU";"3200805";"Baixo Guandu (ES)";"52719";"-";"1280";"2520";"240";"345";"480";"21560";"11970";"-"
"MU";"3200904";"Barra de São Francisco (ES)";"86927";"-";"1385";"2500";"215";"370";"620";"30900";"12750";"-"
"MU";"3201001";"Boa Esperança (ES)";"24208";"-";"840";"1640";"42";"367";"941";"15500";"4560";"-"
"MU";"3201100";"Bom Jesus do Norte (ES)";"8091";"-";"245";"128";"14";"39";"192";"2246";"484";"28"
"MU";"3201159";"Brejetuba (ES)";"3764";"-";"324";"2630";"676";"339";"160";"29526";"9641";"235"
"MU";"3201209";"Cachoeiro de Itapemirim (ES)";"69104";"102";"2390";"12593";"2415";"497";"765";"38873";"14122";"2352"
"MU";"3201308";"Cariacica (ES)";"6828";"-";"351";"910";"80";"950";"1050";"5138";"1758";"-"
"MU";"3201407";"Castelo (ES)";"34526";"31";"853";"12749";"1483";"887";"468";"105417";"19328";"290"
"MU";"3201506";"Colatina (ES)";"77371";"20";"1667";"5310";"472";"620";"1281";"48158";"28456";"-"
"MU";"3201605";"Conceição da Barra (ES)";"15221";"-";"510";"1510";"180";"70";"710";"15288";"2810";"-"
"MU";"3201704";"Conceição do Castelo (ES)";"8651";"7";"455";"9869";"1435";"318";"185";"661943";"63032";"561"
"MU";"3201803";"Divino de São Lourenço (ES)";"6898";"14";"382";"688";"138";"47";"161";"4189";"2136";"-"
"MU";"3201902";"Domingos Martins (ES)";"5179";"-";"451";"9100";"830";"250";"635";"5058000";"188000";"10220"
"MU";"3202009";"Dores do Rio Preto (ES)";"5370";"-";"386";"522";"156";"89";"232";"2609";"802";"38"
"MU";"3202108";"Ecoporanga (ES)";"244985";"17";"7513";"2830";"215";"477";"2950";"21573";"10273";"-"
"MU";"3202207";"Fundão (ES)";"12022";"-";"318";"820";"105";"12";"79";"7380";"3080";"2900"
"MU";"3202256";"Governador Lindenberg (ES)";"7954";"-";"65";"2728";"389";"298";"315";"29550";"19250";"-"
"MU";"3202306";"Guaçuí (ES)";"25604";"68";"1090";"2194";"455";"122";"345";"361812";"1274";"10"
"MU";"3202405";"Guarapari (ES)";"18571";"-";"1681";"7480";"1300";"110";"3709";"46080";"18020";"-"
"MU";"3202454";"Ibatiba (ES)";"3160";"-";"286";"1700";"400";"99";"161";"13652";"6398";"-"
"MU";"3202504";"Ibiraçu (ES)";"7197";"4";"238";"905";"173";"26";"50";"6238";"2520";"-"
"MU";"3202553";"Ibitirama (ES)";"10117";"-";"389";"813";"163";"19";"75";"7370";"1100";"-"
"MU";"3202603";"Iconha (ES)";"11786";"2";"220";"1100";"280";"50";"70";"15800";"5830";"-"
"MU";"3202652";"Irupi (ES)";"2371";"-";"122";"1060";"258";"130";"208";"8497";"2811";"9"
"MU";"3202702";"Itaguaçu (ES)";"20632";"10";"310";"4200";"150";"180";"578";"21200";"5450";"-"
"MU";"3202801";"Itapemirim (ES)";"38381";"4";"1168";"1250";"480";"129";"337";"8430";"3300";"-"
"MU";"3202900";"Itarana (ES)";"8233";"-";"256";"950";"45";"309";"139";"15380";"5200";"-"
"MU";"3203007";"Iúna (ES)";"9200";"-";"460";"2772";"387";"294";"331";"15018";"4359";"129"
"MU";"3203056";"Jaguaré (ES)";"11047";"495";"640";"1995";"330";"-";"440";"22197";"8380";"-"
"MU";"3203106";"Jerônimo Monteiro (ES)";"16957";"55";"518";"8992";"1090";"109";"340";"6831";"2073";"-"
"MU";"3203130";"João Neiva (ES)";"15553";"251";"246";"880";"171";"6";"54";"5500";"2850";"-"
"MU";"3203163";"Laranja da Terra (ES)";"18139";"-";"473";"7523";"1094";"255";"174";"43872";"12785";"-"
"MU";"3203205";"Linhares (ES)";"160736";"1913";"3599";"5780";"865";"768";"1950";"1230550";"44820";"590"
"MU";"3203304";"Mantenópolis (ES)";"13078";"-";"300";"920";"115";"100";"-";"10900";"4410";"-"
"MU";"3203320";"Marataízes (ES)";"2420";"-";"79";"133";"38";"13";"40";"2550";"900";"-"
"MU";"3203346";"Marechal Floriano (ES)";"547";"-";"109";"1250";"150";"38";"84";"2784649";"9300";"11100"
"MU";"3203353";"Marilândia (ES)";"8693";"-";"151";"1100";"130";"80";"160";"12650";"7500";"-"
"MU";"3203403";"Mimoso do Sul (ES)";"60924";"60";"1985";"5308";"539";"420";"407";"32018";"8035";"-"
"MU";"3203502";"Montanha (ES)";"102658";"7";"3482";"2120";"190";"821";"1832";"12525";"3528";"-"
"MU";"3203601";"Mucurici (ES)";"82126";"32";"2670";"1438";"305";"242";"1688";"13200";"2780";"-"
"MU";"3203700";"Muniz Freire (ES)";"27063";"20";"1090";"2888";"592";"309";"405";"22200";"7280";"-"
"MU";"3203809";"Muqui (ES)";"20910";"-";"848";"2010";"203";"315";"136";"18939";"4905";"-"
"MU";"3203908";"Nova Venécia (ES)";"102311";"25";"2904";"6650";"1480";"820";"1550";"38520";"8850";"-"
"MU";"3204005";"Pancas (ES)";"32946";"50";"692";"3200";"315";"400";"400";"24400";"13670";"-"
"MU";"3204054";"Pedro Canário (ES)";"27920";"-";"850";"450";"62";"205";"983";"5970";"900";"-"
"MU";"3204104";"Pinheiros (ES)";"56523";"-";"1436";"3195";"450";"66";"1100";"36095";"8192";"-"
"MU";"3204203";"Piúma (ES)";"6333";"-";"238";"80";"18";"40";"348";"3000";"620";"-"
"MU";"3204252";"Ponto Belo (ES)";"53033";"8";"2092";"1220";"308";"408";"1159";"11350";"2560";"-"
"MU";"3204302";"Presidente Kennedy (ES)";"58179";"24";"1609";"1490";"178";"91";"670";"20000";"5000";"5"
"MU";"3204351";"Rio Bananal (ES)";"12338";"-";"388";"4950";"1250";"90";"122";"43400";"17300";"188"
"MU";"3204401";"Rio Novo do Sul (ES)";"17430";"30";"177";"2280";"400";"95";"66";"11100";"4000";"-"
"MU";"3204500";"Santa Leopoldina (ES)";"18350";"-";"610";"1750";"180";"57";"339";"308300";"280300";"170500"
"MU";"3204559";"Santa Maria de Jetibá (ES)";"2287";"-";"28";"5000";"456";"210";"79";"9963753";"8464721";"1620300"
"MU";"3204609";"Santa Teresa (ES)";"9933";"4";"214";"8250";"535";"50";"86";"226691";"108300";"680"
"MU";"3204658";"São Domingos do Norte (ES)";"17300";"-";"311";"850";"109";"120";"145";"10350";"6110";"-"
"MU";"3204708";"São Gabriel da Palha (ES)";"22435";"-";"416";"1571";"195";"59";"129";"17500";"7950";"-"
"MU";"3204807";"São José do Calçado (ES)";"22652";"-";"592";"850";"192";"88";"85";"4622";"1173";"32"
"MU";"3204906";"São Mateus (ES)";"88732";"227";"4520";"5100";"1029";"408";"2080";"49220";"9610";"-"
"MU";"3204955";"São Roque do Canaã (ES)";"12424";"-";"220";"1000";"98";"105";"203";"12000";"2450";"-"
"MU";"3205002";"Serra (ES)";"17450";"19";"972";"1380";"98";"280";"904";"5650";"2020";"2950"
"MU";"3205010";"Sooretama (ES)";"12887";"19";"1195";"3569";"455";"295";"1320";"214400";"9500";"-"
"MU";"3205036";"Vargem Alta (ES)";"7444";"-";"218";"10568";"1311";"120";"154";"9694";"2435";"-"
"MU";"3205069";"Venda Nova do Imigrante (ES)";"2456";"-";"143";"11173";"1689";"123";"48";"1348873";"311105";"-"
"MU";"3205101";"Viana (ES)";"19059";"119";"561";"18000";"1500";"9";"157";"14465";"1480";"-"
"MU";"3205150";"Vila Pavão (ES)";"24464";"-";"580";"3550";"460";"225";"232";"28550";"6680";"-"
"MU";"3205176";"Vila Valério (ES)";"7874";"-";"66";"1850";"299";"116";"326";"14600";"9700";"-"
"MU";"3205200";"Vila Velha (ES)";"15462";"-";"830";"7966";"441";"299";"430";"2803";"754";"700"
"MU";"3205309";"Vitória (ES)";"170";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"6000";"-";"215";"720";"197";"231";"-";"7050";"1386";"-"
"MU";"3300159";"Aperibé (RJ)";"9255";"12";"600";"1200";"60";"330";"15";"5850";"3650";"-"
"MU";"3300209";"Araruama (RJ)";"40000";"200";"5000";"1000";"300";"350";"4000";"60000";"38500";"2000"
"MU";"3300225";"Areal (RJ)";"4750";"-";"355";"-";"-";"100";"55";"3730";"475";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"3940";"-";"648";"820";"120";"212";"615";"6720";"3300";"2300"
"MU";"3300308";"Barra do Piraí (RJ)";"32543";"15";"1657";"8000";"780";"160";"200";"2000";"700";"3000"
"MU";"3300407";"Barra Mansa (RJ)";"32500";"-";"1450";"1450";"360";"80";"360";"80000";"9500";"950"
"MU";"3300456";"Belford Roxo (RJ)";"150";"-";"-";"10";"1";"-";"-";"1000";"200";"-"
"MU";"3300506";"Bom Jardim (RJ)";"16131";"-";"1965";"1074";"224";"-";"187";"30890";"11363";"8745"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"67929";"-";"1800";"2400";"370";"400";"420";"12200";"7300";"-"
"MU";"3300704";"Cabo Frio (RJ)";"31180";"-";"2160";"151";"20";"195";"1290";"19800";"16800";"1200"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"25340";"40";"2300";"680";"450";"170";"1251";"5000";"3500";"-"
"MU";"3300902";"Cambuci (RJ)";"53521";"-";"2700";"960";"130";"950";"1000";"4900";"3100";"-"
"MU";"3300936";"Carapebus (RJ)";"29000";"-";"3550";"920";"240";"55";"1280";"18000";"12000";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"5750";"-";"135";"-";"-";"-";"105";"-";"-";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"238589";"995";"3653";"4500";"500";"500";"570";"72000";"28000";"500"
"MU";"3301108";"Cantagalo (RJ)";"69870";"69";"3320";"1641";"810";"434";"887";"4980";"3200";"-"
"MU";"3301157";"Cardoso Moreira (RJ)";"44524";"-";"377";"200";"70";"30";"800";"2800";"1300";"-"
"MU";"3301207";"Carmo (RJ)";"30209";"-";"2217";"890";"89";"-";"200";"3081";"1676";"302"
"MU";"3301306";"Casimiro de Abreu (RJ)";"38500";"700";"1400";"1200";"100";"130";"380";"8100";"3900";"-"
"MU";"3301405";"Conceição de Macabu (RJ)";"24100";"-";"770";"310";"39";"60";"65";"6000";"2500";"-"
"MU";"3301504";"Cordeiro (RJ)";"8835";"15";"553";"2860";"182";"184";"191";"9023";"4273";"-"
"MU";"3301603";"Duas Barras (RJ)";"19545";"-";"1133";"1562";"197";"1915";"260";"13970";"10269";"570"
"MU";"3301702";"Duque de Caxias (RJ)";"4100";"17";"500";"1000";"70";"400";"350";"5300";"1000";"1300"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"1650";"-";"439";"608";"60";"134";"-";"980";"330";"1000"
"MU";"3301850";"Guapimirim (RJ)";"20200";"80";"1800";"2900";"350";"250";"-";"15200";"6900";"-"
"MU";"3301876";"Iguaba Grande (RJ)";"4200";"-";"200";"88";"24";"90";"160";"2050";"680";"-"
"MU";"3301900";"Itaboraí (RJ)";"32025";"38";"416";"48";"15";"1610";"88";"1120";"330";"1806"
"MU";"3302007";"Itaguaí (RJ)";"12327";"55";"410";"1230";"182";"126";"176";"4820";"1036";"-"
"MU";"3302056";"Italva (RJ)";"28500";"-";"1950";"1500";"270";"425";"230";"20550";"5150";"-"
"MU";"3302106";"Itaocara (RJ)";"45800";"80";"1200";"10500";"1250";"60";"200";"6000";"3000";"-"
"MU";"3302205";"Itaperuna (RJ)";"113633";"355";"3100";"2875";"900";"2256";"1140";"23441";"9550";"2500"
"MU";"3302254";"Itatiaia (RJ)";"4200";"-";"400";"300";"50";"-";"-";"500";"400";"-"
"MU";"3302270";"Japeri (RJ)";"1500";"-";"20";"300";"30";"40";"-";"2500";"170";"1000"
"MU";"3302304";"Laje do Muriaé (RJ)";"19000";"-";"695";"950";"280";"220";"170";"8100";"3100";"-"
"MU";"3302403";"Macaé (RJ)";"91820";"90";"3400";"1100";"120";"55";"850";"10500";"950";"-"
"MU";"3302452";"Macuco (RJ)";"6846";"50";"263";"638";"56";"231";"-";"3276";"1471";"-"
"MU";"3302502";"Magé (RJ)";"9900";"330";"990";"3000";"500";"1000";"350";"36000";"20000";"-"
"MU";"3302601";"Mangaratiba (RJ)";"5380";"60";"192";"560";"89";"136";"-";"1900";"400";"-"
"MU";"3302700";"Maricá (RJ)";"4120";"620";"300";"205";"85";"207";"53";"3850";"2102";"1250"
"MU";"3302809";"Mendes (RJ)";"1340";"-";"387";"315";"35";"-";"-";"-";"-";"1240"
"MU";"3302858";"Mesquita (RJ)";"70";"-";"-";"170";"27";"-";"-";"900";"100";"-"
"MU";"3302908";"Miguel Pereira (RJ)";"14500";"-";"480";"1700";"140";"-";"-";"2000";"900";"-"
"MU";"3303005";"Miracema (RJ)";"27475";"94";"1100";"1853";"127";"360";"81";"18265";"3982";"-"
"MU";"3303104";"Natividade (RJ)";"33087";"-";"600";"230";"17";"120";"105";"17000";"4150";"-"
"MU";"3303203";"Nilópolis (RJ)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"MU";"3303302";"Niterói (RJ)";"42";"-";"39";"21";"2";"10";"-";"159";"89";"-"
"MU";"3303401";"Nova Friburgo (RJ)";"7578";"107";"1393";"7403";"3444";"1118";"317";"24738";"9315";"1216"
"MU";"3303500";"Nova Iguaçu (RJ)";"2900";"-";"-";"330";"30";"140";"50";"22500";"19000";"180000"
"MU";"3303609";"Paracambi (RJ)";"4504";"-";"248";"1380";"175";"143";"630";"6320";"2000";"-"
"MU";"3303708";"Paraíba do Sul (RJ)";"29000";"240";"865";"2000";"180";"175";"1500";"389359";"332158";"-"
"MU";"3303807";"Paraty (RJ)";"5500";"-";"205";"390";"60";"160";"460";"7516";"2790";"-"
"MU";"3303856";"Paty do Alferes (RJ)";"14657";"-";"1367";"500";"55";"100";"22";"2500";"1000";"-"
"MU";"3303906";"Petrópolis (RJ)";"5900";"-";"4720";"13150";"800";"80";"100";"1990100";"3710";"-"
"MU";"3303955";"Pinheiral (RJ)";"4230";"-";"303";"500";"100";"20";"240";"9500";"1120";"-"
"MU";"3304003";"Piraí (RJ)";"23771";"-";"1000";"1600";"300";"365";"480";"50483";"5750";"-"
"MU";"3304102";"Porciúncula (RJ)";"20180";"-";"550";"680";"170";"460";"82";"13600";"8300";"-"
"MU";"3304110";"Porto Real (RJ)";"7500";"-";"80";"200";"20";"-";"-";"-";"-";"-"
"MU";"3304128";"Quatis (RJ)";"19200";"25";"440";"520";"40";"-";"-";"7800";"1200";"-"
"MU";"3304144";"Queimados (RJ)";"1200";"-";"-";"300";"50";"15";"-";"1400";"200";"-"
"MU";"3304151";"Quissamã (RJ)";"40923";"100";"1560";"300";"100";"320";"1100";"2400";"1300";"-"
"MU";"3304201";"Resende (RJ)";"45000";"-";"2000";"2000";"300";"280";"-";"2000";"1700";"-"
"MU";"3304300";"Rio Bonito (RJ)";"29376";"113";"294";"524";"209";"1613";"132";"18730";"6180";"8928"
"MU";"3304409";"Rio Claro (RJ)";"34500";"80";"1300";"990";"120";"160";"760";"3650000";"4200";"-"
"MU";"3304508";"Rio das Flores (RJ)";"23465";"-";"500";"1050";"70";"250";"-";"4000";"1700";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"28000";"100";"600";"180";"40";"20";"270";"2500";"1500";"90"
"MU";"3304557";"Rio de Janeiro (RJ)";"6500";"900";"1480";"2890";"620";"1937";"4080";"27440";"19375";"32300"
"MU";"3304607";"Santa Maria Madalena (RJ)";"45323";"313";"2115";"1605";"439";"668";"224";"27550";"24985";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"57221";"35";"4347";"2104";"120";"95";"910";"36742";"7110";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"70000";"100";"5000";"2000";"200";"500";"3000";"10500";"5000";"-"
"MU";"3304805";"São Fidélis (RJ)";"85000";"70";"1700";"2800";"480";"200";"380";"24300";"17000";"-"
"MU";"3304904";"São Gonçalo (RJ)";"3000";"22";"320";"550";"130";"170";"180";"6800";"600";"900"
"MU";"3305000";"São João da Barra (RJ)";"26914";"-";"670";"85";"25";"55";"150";"870";"320";"-"
"MU";"3305109";"São João de Meriti (RJ)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"MU";"3305133";"São José de Ubá (RJ)";"22500";"-";"900";"2700";"600";"200";"100";"10300";"4100";"-"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"3680";"-";"720";"2400";"230";"270";"120";"2900000";"195000";"38000"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"23380";"-";"580";"267";"45";"400";"2000";"7190";"1900";"-"
"MU";"3305307";"São Sebastião do Alto (RJ)";"39057";"5";"3526";"1437";"519";"320";"150";"16219";"8970";"-"
"MU";"3305406";"Sapucaia (RJ)";"27590";"12";"630";"310";"70";"45";"25";"730500";"13650";"-"
"MU";"3305505";"Saquarema (RJ)";"10592";"-";"680";"60";"7";"199";"330";"1800";"500";"32000"
"MU";"3305554";"Seropédica (RJ)";"7220";"-";"596";"1143";"190";"380";"710";"17850";"5645";"60000"
"MU";"3305604";"Silva Jardim (RJ)";"51957";"171";"751";"448";"221";"918";"339";"15080";"9217";"2369"
"MU";"3305703";"Sumidouro (RJ)";"21085";"-";"900";"802";"196";"-";"110";"10343";"5863";"-"
"MU";"3305752";"Tanguá (RJ)";"6503";"8";"226";"346";"134";"320";"213";"3840";"3200";"2168"
"MU";"3305802";"Teresópolis (RJ)";"6836";"248";"5000";"600";"200";"214";"8267";"680000";"18000";"900"
"MU";"3305901";"Trajano de Moraes (RJ)";"22260";"15";"2768";"2788";"515";"538";"-";"31194";"8614";"-"
"MU";"3306008";"Três Rios (RJ)";"15200";"-";"540";"180";"40";"-";"105";"400000";"-";"-"
"MU";"3306107";"Valença (RJ)";"85000";"-";"2800";"3000";"240";"100";"-";"20000";"9500";"-"
"MU";"3306156";"Varre-Sai (RJ)";"9800";"-";"360";"-";"-";"-";"350";"14010";"1987";"-"
"MU";"3306206";"Vassouras (RJ)";"23900";"-";"2000";"2200";"200";"-";"300";"377000";"4200";"-"
"MU";"3306305";"Volta Redonda (RJ)";"8200";"-";"330";"900";"85";"170";"140";"5200";"1400";"450"
"MU";"3500105";"Adamantina (SP)";"28752";"382";"790";"1059";"168";"105";"1980";"12780";"7500";"-"
"MU";"3500204";"Adolfo (SP)";"6781";"69";"389";"608";"158";"72";"1620";"35200";"6000";"-"
"MU";"3500303";"Aguaí (SP)";"5822";"5";"400";"1380";"178";"50";"1000";"1200000";"27300";"-"
"MU";"3500402";"Águas da Prata (SP)";"6509";"4";"275";"7615";"698";"-";"-";"3090";"950";"-"
"MU";"3500501";"Águas de Lindóia (SP)";"3500";"-";"560";"130";"30";"30";"160";"121300";"1300";"-"
"MU";"3500550";"Águas de Santa Bárbara (SP)";"12194";"30";"430";"80";"-";"30";"349";"600900";"-";"-"
"MU";"3500709";"Agudos (SP)";"39859";"33";"1045";"29600";"495";"128";"1675";"168976";"79006";"-"
"MU";"3500758";"Alambari (SP)";"8940";"1350";"210";"710";"530";"110";"280";"590450";"230280";"-"
"MU";"3500808";"Alfredo Marcondes (SP)";"21452";"-";"500";"1085";"286";"60";"630";"22160";"7900";"-"
"MU";"3500907";"Altair (SP)";"10643";"-";"225";"900";"70";"6";"140";"3650";"820";"-"
"MU";"3501004";"Altinópolis (SP)";"14001";"-";"210";"210";"-";"150";"472";"1038000";"12000";"-"
"MU";"3501103";"Alto Alegre (SP)";"18044";"26";"820";"500";"185";"50";"280";"5500";"2500";"-"
"MU";"3501152";"Alumínio (SP)";"1948";"-";"300";"96";"-";"140";"160";"-";"-";"-"
"MU";"3501202";"Álvares Florence (SP)";"33500";"10";"500";"800";"150";"40";"200";"400000";"11000";"-"
"MU";"3501301";"Álvares Machado (SP)";"48214";"365";"1500";"2310";"600";"125";"590";"8090";"3350";"-"
"MU";"3501400";"Álvaro de Carvalho (SP)";"18823";"67";"61";"373";"83";"-";"-";"112";"29";"-"
"MU";"3501509";"Alvinlândia (SP)";"6480";"-";"260";"320";"-";"20";"1200";"-";"-";"-"
"MU";"3501608";"Americana (SP)";"1000";"-";"400";"-";"-";"10";"-";"-";"-";"-"
"MU";"3501707";"Américo Brasiliense (SP)";"520";"-";"164";"232";"64";"54";"565";"4800";"1600";"-"
"MU";"3501806";"Américo de Campos (SP)";"20500";"11";"520";"700";"150";"70";"200";"50000";"1500";"-"
"MU";"3501905";"Amparo (SP)";"26000";"33";"2934";"3450";"360";"154";"1500";"12465000";"465000";"6000"
"MU";"3502002";"Analândia (SP)";"9400";"415";"800";"400";"100";"200";"1400";"114000";"-";"-"
"MU";"3502101";"Andradina (SP)";"59106";"112";"1422";"10670";"860";"38";"1015";"2890";"2700";"-"
"MU";"3502200";"Angatuba (SP)";"55310";"240";"780";"350";"290";"160";"280";"1230180";"1230180";"-"
"MU";"3502309";"Anhembi (SP)";"36624";"-";"133";"-";"-";"-";"472";"-";"-";"-"
"MU";"3502408";"Anhumas (SP)";"30522";"129";"550";"780";"130";"60";"170";"12800";"4450";"-"
"MU";"3502507";"Aparecida (SP)";"5679";"149";"27";"587";"77";"19";"-";"628";"402";"-"
"MU";"3502606";"Aparecida d'Oeste (SP)";"21573";"7";"337";"703";"209";"23";"439";"5294";"1717";"-"
"MU";"3502705";"Apiaí (SP)";"8000";"1000";"1500";"1310";"1310";"60";"450";"8200";"1100";"-"
"MU";"3502754";"Araçariguama (SP)";"2063";"-";"250";"200";"-";"-";"300";"-";"-";"-"
"MU";"3502804";"Araçatuba (SP)";"58086";"-";"1218";"2480";"1480";"255";"7988";"92884";"80384";"-"
"MU";"3502903";"Araçoiaba da Serra (SP)";"12322";"178";"584";"9542";"1585";"87";"340";"441586";"7989";"-"
"MU";"3503000";"Aramina (SP)";"2678";"-";"152";"588";"120";"2";"98";"82203";"2012";"14"
"MU";"3503109";"Arandu (SP)";"11748";"-";"824";"10186";"25";"40";"345";"-";"-";"-"
"MU";"3503158";"Arapeí (SP)";"4871";"30";"515";"180";"40";"170";"120";"2400";"900";"700"
"MU";"3503208";"Araraquara (SP)";"13150";"41";"1129";"940";"320";"438";"1184";"19400";"7350";"-"
"MU";"3503307";"Araras (SP)";"5200";"-";"50";"1814";"-";"350";"500";"320000";"20000";"-"
"MU";"3503356";"Arco-Íris (SP)";"19967";"-";"330";"202";"90";"20";"250";"20000";"15000";"15000"
"MU";"3503406";"Arealva (SP)";"40176";"10";"900";"16650";"1280";"322";"1550";"996860";"1460";"-"
"MU";"3503505";"Areias (SP)";"15848";"-";"600";"210";"35";"180";"1100";"2250";"1050";"-"
"MU";"3503604";"Areiópolis (SP)";"217";"7";"35";"-";"-";"-";"-";"10000";"5500";"-"
"MU";"3503703";"Ariranha (SP)";"673";"-";"55";"575";"135";"7";"66";"3929";"1104";"-"
"MU";"3503802";"Artur Nogueira (SP)";"4958";"-";"260";"1925";"321";"121";"274";"159025";"86735";"-"
"MU";"3503901";"Arujá (SP)";"428";"-";"5";"5";"5";"-";"-";"-";"-";"-"
"MU";"3503950";"Aspásia (SP)";"5757";"-";"187";"695";"134";"12";"108";"4203";"1508";"-"
"MU";"3504008";"Assis (SP)";"17497";"-";"700";"2070";"220";"75";"950";"25500";"2500";"130000"
"MU";"3504107";"Atibaia (SP)";"13200";"155";"2050";"-";"-";"540";"1390";"1608000";"103000";"-"
"MU";"3504206";"Auriflama (SP)";"46132";"428";"1100";"680";"200";"30";"250";"2940";"1120";"-"
"MU";"3504305";"Avaí (SP)";"38620";"262";"1200";"1005";"174";"90";"870";"33794";"1994";"-"
"MU";"3504404";"Avanhandava (SP)";"9254";"-";"115";"630";"170";"10";"20";"2500";"1000";"-"
"MU";"3504503";"Avaré (SP)";"46690";"143";"2610";"665";"60";"276";"3194";"1147726";"1068817";"-"
"MU";"3504602";"Bady Bassitt (SP)";"11233";"61";"530";"1895";"695";"49";"1450";"121800";"27300";"-"
"MU";"3504701";"Balbinos (SP)";"3161";"-";"218";"415";"75";"26";"177";"1568";"554";"-"
"MU";"3504800";"Bálsamo (SP)";"6262";"-";"450";"750";"220";"35";"1200";"143200";"36200";"-"
"MU";"3504909";"Bananal (SP)";"20145";"315";"880";"590";"170";"140";"220";"3080";"1300";"-"
"MU";"3505005";"Barão de Antonina (SP)";"14000";"70";"480";"500";"50";"130";"200";"6000";"3000";"-"
"MU";"3505104";"Barbosa (SP)";"7484";"43";"260";"530";"65";"20";"55";"2500";"800";"-"
"MU";"3505203";"Bariri (SP)";"19125";"213";"175";"5300";"635";"47";"900";"730900";"4400";"-"
"MU";"3505302";"Barra Bonita (SP)";"751";"-";"60";"280";"33";"19";"66";"4900";"600";"-"
"MU";"3505351";"Barra do Chapéu (SP)";"4000";"250";"1200";"1210";"210";"100";"200";"8030";"940";"-"
"MU";"3505401";"Barra do Turvo (SP)";"14703";"5791";"286";"93";"30";"166";"214";"-";"-";"-"
"MU";"3505500";"Barretos (SP)";"37274";"64";"1783";"548";"151";"96";"1315";"103300";"82300";"-"
"MU";"3505609";"Barrinha (SP)";"600";"-";"130";"150";"150";"68";"260";"1000";"1000";"-"
"MU";"3505708";"Barueri (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"MU";"3505807";"Bastos (SP)";"19303";"70";"250";"500";"100";"100";"150";"14950000";"12695500";"3500000"
"MU";"3505906";"Batatais (SP)";"17210";"-";"1470";"7000";"-";"60";"-";"1600000";"210100";"-"
