"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2013"
"Nível";"Cód.";"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Suíno - matrizes de suínos";"Caprino";"Ovino";"Galináceos - total";"Galináceos - galinhas";"Codornas"
"MU";"1200385";"Plácido de Castro (AC)";"168993";"176";"4526";"4975";"345";"536";"5049";"76510";"17769";"-"
"MU";"1200393";"Porto Walter (AC)";"9711";"-";"71";"5397";"305";"459";"525";"42230";"9579";"-"
"MU";"1200401";"Rio Branco (AC)";"498418";"421";"10354";"9272";"809";"1142";"8670";"172506";"61837";"7050"
"MU";"1200427";"Rodrigues Alves (AC)";"8641";"52";"260";"1798";"167";"174";"931";"40449";"12416";"-"
"MU";"1200435";"Santa Rosa do Purus (AC)";"5163";"-";"91";"1220";"194";"61";"223";"5480";"1257";"-"
"MU";"1200450";"Senador Guiomard (AC)";"222955";"667";"5280";"2742";"192";"490";"7205";"223305";"143362";"-"
"MU";"1200500";"Sena Madureira (AC)";"224450";"119";"8258";"12574";"1848";"3649";"10629";"95052";"18345";"-"
"MU";"1200609";"Tarauacá (AC)";"133165";"366";"2170";"14024";"2804";"416";"4712";"99983";"29892";"-"
"MU";"1200708";"Xapuri (AC)";"219082";"310";"6373";"6995";"498";"778";"3484";"95989";"18930";"-"
"MU";"1200807";"Porto Acre (AC)";"171149";"119";"3484";"4281";"352";"346";"5361";"58299";"14867";"-"
"MU";"1300029";"Alvarães (AM)";"620";"46";"-";"160";"50";"-";"86";"3820";"2700";"-"
"MU";"1300060";"Amaturá (AM)";"1800";"15";"-";"303";"81";"18";"97";"7000";"3000";"-"
"MU";"1300086";"Anamã (AM)";"630";"-";"3";"148";"48";"-";"41";"3300";"250";"-"
"MU";"1300102";"Anori (AM)";"1871";"-";"-";"156";"36";"-";"228";"3896";"1396";"-"
"MU";"1300144";"Apuí (AM)";"145000";"390";"2030";"2000";"500";"1300";"2910";"26000";"11000";"-"
"MU";"1300201";"Atalaia do Norte (AM)";"170";"-";"-";"500";"150";"70";"190";"19000";"7000";"-"
"MU";"1300300";"Autazes (AM)";"46076";"20088";"980";"2400";"540";"2600";"3450";"6600";"2600";"-"
"MU";"1300409";"Barcelos (AM)";"91";"-";"13";"155";"42";"30";"46";"3500";"450";"-"
"MU";"1300508";"Barreirinha (AM)";"46867";"6898";"-";"1780";"450";"656";"2708";"66320";"32887";"-"
"MU";"1300607";"Benjamin Constant (AM)";"785";"2";"23";"100";"70";"260";"305";"26100";"10600";"200"
"MU";"1300631";"Beruri (AM)";"1281";"79";"40";"83";"13";"55";"41";"3200";"1563";"-"
"MU";"1300680";"Boa Vista do Ramos (AM)";"19671";"2184";"532";"1094";"182";"521";"274";"10200";"4220";"-"
"MU";"1300706";"Boca do Acre (AM)";"93880";"24";"2792";"2100";"500";"3150";"17800";"18836";"3800";"-"
"MU";"1300805";"Borba (AM)";"6120";"1830";"21";"580";"188";"403";"1423";"6134";"3230";"-"
"MU";"1300839";"Caapiranga (AM)";"2282";"28";"40";"292";"120";"38";"135";"5870";"3020";"-"
"MU";"1300904";"Canutama (AM)";"22640";"73";"34";"592";"160";"28";"15";"7500";"3000";"-"
"MU";"1301001";"Carauari (AM)";"6570";"4";"60";"480";"144";"35";"300";"5000";"3000";"-"
"MU";"1301100";"Careiro (AM)";"21645";"544";"758";"955";"360";"314";"1568";"7619";"2300";"-"
"MU";"1301159";"Careiro da Várzea (AM)";"62716";"4160";"440";"402";"104";"322";"346";"4500";"3180";"-"
"MU";"1301209";"Coari (AM)";"2756";"320";"-";"800";"320";"320";"280";"20000";"8500";"-"
"MU";"1301308";"Codajás (AM)";"3000";"450";"45";"400";"25";"52";"350";"13000";"6000";"-"
"MU";"1301407";"Eirunepé (AM)";"20714";"220";"190";"3240";"1200";"220";"1115";"17145";"5300";"20"
"MU";"1301506";"Envira (AM)";"14108";"5";"570";"1900";"600";"430";"800";"15000";"7000";"-"
"MU";"1301605";"Fonte Boa (AM)";"2253";"66";"12";"300";"100";"-";"23";"6500";"3500";"-"
"MU";"1301654";"Guajará (AM)";"32900";"120";"218";"1489";"360";"310";"1815";"29920";"8920";"-"
"MU";"1301704";"Humaitá (AM)";"20980";"70";"45";"1229";"580";"113";"1288";"8823";"4200";"-"
"MU";"1301803";"Ipixuna (AM)";"12163";"175";"150";"4250";"1316";"264";"396";"10130";"1130";"-"
"MU";"1301852";"Iranduba (AM)";"7598";"85";"43";"413";"180";"81";"402";"450000";"317000";"-"
"MU";"1301902";"Itacoatiara (AM)";"67818";"17762";"967";"1640";"785";"1210";"2546";"102000";"76000";"-"
"MU";"1301951";"Itamarati (AM)";"1980";"2";"43";"1130";"530";"125";"118";"980";"618";"-"
"MU";"1302009";"Itapiranga (AM)";"6000";"340";"45";"200";"82";"150";"120";"1000";"480";"-"
"MU";"1302108";"Japurá (AM)";"757";"19";"-";"350";"85";"10";"47";"1610";"650";"-"
"MU";"1302207";"Juruá (AM)";"1573";"-";"5";"280";"60";"-";"18";"2000";"300";"-"
"MU";"1302306";"Jutaí (AM)";"589";"240";"25";"1850";"980";"270";"280";"21000";"9000";"-"
"MU";"1302405";"Lábrea (AM)";"339482";"267";"140";"810";"257";"16";"133";"23762";"20000";"100"
"MU";"1302504";"Manacapuru (AM)";"21326";"680";"260";"631";"179";"160";"1040";"93700";"75700";"-"
"MU";"1302553";"Manaquiri (AM)";"10852";"179";"-";"110";"30";"-";"360";"7400";"1500";"-"
"MU";"1302603";"Manaus (AM)";"6178";"770";"218";"3126";"605";"605";"4899";"2380000";"1945000";"15000"
"MU";"1302702";"Manicoré (AM)";"105820";"140";"68";"3000";"420";"1050";"956";"80000";"18100";"-"
"MU";"1302801";"Maraã (AM)";"797";"288";"5";"98";"37";"21";"86";"28000";"9750";"-"
"MU";"1302900";"Maués (AM)";"17102";"670";"-";"402";"158";"302";"638";"100080";"20600";"-"
"MU";"1303007";"Nhamundá (AM)";"41831";"5076";"1463";"2632";"930";"682";"3502";"2160";"1125";"-"
"MU";"1303106";"Nova Olinda do Norte (AM)";"8580";"860";"54";"340";"78";"180";"300";"7500";"2900";"-"
"MU";"1303205";"Novo Airão (AM)";"640";"-";"65";"250";"31";"30";"50";"14500";"750";"-"
"MU";"1303304";"Novo Aripuanã (AM)";"15100";"22";"109";"330";"90";"116";"126";"21000";"9400";"-"
"MU";"1303403";"Parintins (AM)";"124151";"13986";"1742";"7100";"2780";"4200";"5224";"86200";"43150";"-"
"MU";"1303502";"Pauini (AM)";"11200";"5";"84";"650";"158";"48";"202";"19600";"7500";"-"
"MU";"1303536";"Presidente Figueiredo (AM)";"14500";"365";"215";"580";"135";"573";"2455";"26000";"11000";"-"
"MU";"1303569";"Rio Preto da Eva (AM)";"2281";"-";"170";"5636";"850";"250";"2350";"63700";"56000";"-"
"MU";"1303601";"Santa Isabel do Rio Negro (AM)";"299";"22";"9";"196";"49";"8";"78";"3500";"2050";"-"
"MU";"1303700";"Santo Antônio do Içá (AM)";"1400";"75";"40";"350";"150";"-";"500";"10000";"6000";"-"
"MU";"1303809";"São Gabriel da Cachoeira (AM)";"120";"14";"12";"80";"20";"70";"20";"12000";"3000";"-"
"MU";"1303908";"São Paulo de Olivença (AM)";"523";"24";"15";"100";"54";"-";"130";"20000";"15000";"-"
"MU";"1303957";"São Sebastião do Uatumã (AM)";"14000";"249";"47";"100";"57";"43";"53";"3800";"1000";"-"
"MU";"1304005";"Silves (AM)";"11715";"569";"180";"1895";"601";"275";"540";"12000";"4620";"-"
"MU";"1304062";"Tabatinga (AM)";"721";"46";"-";"200";"62";"3";"30";"9000";"6000";"-"
"MU";"1304104";"Tapauá (AM)";"2789";"20";"-";"145";"40";"80";"50";"3400";"1000";"-"
"MU";"1304203";"Tefé (AM)";"1873";"125";"20";"203";"58";"4";"520";"9700";"4300";"1500"
"MU";"1304237";"Tonantins (AM)";"1588";"188";"-";"450";"135";"60";"230";"3600";"1600";"-"
"MU";"1304260";"Uarini (AM)";"580";"250";"-";"600";"280";"-";"100";"4200";"3200";"-"
"MU";"1304302";"Urucará (AM)";"22500";"1953";"262";"1500";"380";"101";"2148";"16850";"9800";"-"
"MU";"1304401";"Urucurituba (AM)";"16685";"2450";"177";"1060";"452";"96";"347";"18700";"8600";"-"
"MU";"1400027";"Amajari (RR)";"80054";"112";"2747";"2061";"900";"742";"3105";"9283";"3249";"-"
"MU";"1400050";"Alto Alegre (RR)";"81241";"12";"2350";"5568";"2700";"1035";"4299";"26109";"11487";"-"
"MU";"1400100";"Boa Vista (RR)";"27778";"6";"2786";"3470";"1350";"419";"2759";"306619";"267500";"-"
"MU";"1400159";"Bonfim (RR)";"60000";"-";"2254";"2949";"1178";"689";"3407";"32192";"12251";"-"
"MU";"1400175";"Cantá (RR)";"81691";"95";"1807";"2680";"865";"574";"5545";"34900";"15400";"-"
"MU";"1400209";"Caracaraí (RR)";"29036";"-";"814";"1600";"510";"203";"2090";"25200";"10800";"-"
"MU";"1400233";"Caroebe (RR)";"57422";"-";"969";"800";"300";"61";"2010";"16900";"7800";"-"
"MU";"1400282";"Iracema (RR)";"45822";"-";"758";"790";"300";"300";"1782";"13512";"6215";"-"
"MU";"1400308";"Mucajaí (RR)";"113248";"106";"1937";"2367";"1136";"431";"6230";"35800";"18900";"-"
"MU";"1400407";"Normandia (RR)";"20715";"-";"4310";"2189";"416";"823";"1636";"15300";"7250";"-"
"MU";"1400456";"Pacaraima (RR)";"18336";"-";"2590";"780";"359";"341";"1181";"7200";"4150";"-"
"MU";"1400472";"Rorainópolis (RR)";"48656";"75";"1640";"2252";"788";"470";"2881";"39450";"17800";"-"
"MU";"1400506";"São João da Baliza (RR)";"21946";"39";"576";"679";"306";"170";"1639";"18500";"7400";"-"
"MU";"1400605";"São Luiz (RR)";"40572";"15";"430";"840";"300";"30";"234";"15200";"7100";"-"
"MU";"1400704";"Uiramutã (RR)";"20528";"-";"2580";"726";"189";"35";"883";"9216";"2304";"-"
"MU";"1500107";"Abaetetuba (PA)";"1858";"680";"360";"15000";"3880";"155";"255";"110000";"6800";"-"
"MU";"1500131";"Abel Figueiredo (PA)";"54531";"21";"1225";"2297";"1250";"93";"710";"8280";"3520";"-"
"MU";"1500206";"Acará (PA)";"10085";"78";"257";"10395";"1800";"128";"152";"37418";"15190";"-"
"MU";"1500305";"Afuá (PA)";"1904";"4275";"30";"38400";"5520";"35";"34";"14200";"3800";"-"
"MU";"1500347";"Água Azul do Norte (PA)";"564582";"386";"4490";"5602";"2520";"174";"1241";"40321";"24999";"-"
"MU";"1500404";"Alenquer (PA)";"168444";"4812";"5549";"5535";"1802";"480";"3038";"93668";"42756";"-"
"MU";"1500503";"Almeirim (PA)";"25312";"33185";"262";"297";"65";"20";"174";"1937";"1500";"-"
"MU";"1500602";"Altamira (PA)";"711028";"706";"6237";"7254";"897";"1118";"9149";"179638";"35927";"4071"
"MU";"1500701";"Anajás (PA)";"990";"7424";"482";"8048";"2720";"102";"181";"5930";"2510";"-"
"MU";"1500800";"Ananindeua (PA)";"180";"61";"4";"188";"15";"5";"128";"220000";"40000";"9000"
"MU";"1500859";"Anapu (PA)";"270460";"345";"2778";"2508";"99";"641";"1309";"43887";"10850";"528"
"MU";"1500909";"Augusto Corrêa (PA)";"4247";"-";"163";"1255";"131";"239";"175";"31898";"3382";"-"
"MU";"1500958";"Aurora do Pará (PA)";"86266";"52";"848";"2270";"712";"72";"638";"24760";"13500";"-"
"MU";"1501006";"Aveiro (PA)";"43637";"646";"256";"1792";"484";"92";"333";"22394";"6951";"-"
"MU";"1501105";"Bagre (PA)";"1811";"544";"20";"6710";"2725";"66";"-";"1158";"450";"-"
"MU";"1501204";"Baião (PA)";"66420";"350";"660";"1087";"568";"220";"1600";"5600";"5600";"32"
"MU";"1501253";"Bannach (PA)";"193334";"2";"1743";"1247";"561";"252";"376";"10151";"4567";"-"
"MU";"1501303";"Barcarena (PA)";"1056";"199";"125";"8000";"900";"55";"152";"15000";"3000";"-"
"MU";"1501402";"Belém (PA)";"503";"199";"30";"200";"-";"27";"60";"70000";"1150";"-"
"MU";"1501451";"Belterra (PA)";"26490";"-";"269";"1535";"258";"-";"140";"38509";"15585";"-"
"MU";"1501501";"Benevides (PA)";"3820";"5";"129";"2023";"100";"59";"12";"980630";"74500";"-"
"MU";"1501576";"Bom Jesus do Tocantins (PA)";"184630";"-";"2760";"1989";"1030";"280";"2822";"22687";"9580";"-"
"MU";"1501600";"Bonito (PA)";"10458";"42";"295";"1798";"310";"56";"206";"20275";"6650";"-"
"MU";"1501709";"Bragança (PA)";"24868";"633";"419";"3450";"395";"120";"489";"159820";"25730";"-"
"MU";"1501725";"Brasil Novo (PA)";"235712";"38";"5002";"5708";"729";"330";"2175";"54479";"10895";"-"
"MU";"1501758";"Brejo Grande do Araguaia (PA)";"76000";"-";"600";"800";"350";"160";"600";"6800";"2950";"-"
"MU";"1501782";"Breu Branco (PA)";"155698";"142";"4962";"4040";"1600";"429";"3638";"103600";"10360";"4000"
"MU";"1501808";"Breves (PA)";"2426";"414";"96";"11517";"3813";"30";"52";"9108";"2788";"-"
"MU";"1501907";"Bujaru (PA)";"4850";"295";"198";"3060";"595";"52";"260";"41340";"12210";"-"
"MU";"1501956";"Cachoeira do Piriá (PA)";"46519";"6";"1102";"1730";"255";"652";"549";"22895";"4588";"-"
"MU";"1502004";"Cachoeira do Arari (PA)";"6254";"37507";"5777";"1466";"953";"316";"640";"2763";"2210";"-"
"MU";"1502103";"Cametá (PA)";"413";"10";"2";"5700";"1140";"9";"7";"27000";"27000";"-"
"MU";"1502152";"Canaã dos Carajás (PA)";"190000";"-";"2700";"2150";"1160";"300";"820";"26900";"10760";"-"
"MU";"1502202";"Capanema (PA)";"26908";"327";"746";"1612";"246";"232";"1117";"24186";"10115";"612"
"MU";"1502301";"Capitão Poço (PA)";"68854";"43";"1084";"5085";"552";"1358";"2574";"48568";"17300";"-"
