"";"co_mun";"nm_mun";"co_state";"nm_state";"area_plant";"area_harv";"prod_bean";"exp_bean";"exp_bean_d";"exp_oil";"exp_oil_d";"exp_cake";"exp_cake_d";"imp_bean";"imp_bean_d";"imp_oil";"imp_oil_d";"imp_cake";"imp_cake_d";"proc_fac";"proc_cap";"ref_fac";"ref_cap";"bot_cap";"population";"cattle";"cattle_milked";"buffalo";"horse";"pig";"pig_mother";"goat";"sheep";"chicken";"chicken_layer";"quail";"storage_cap"
"45";1101484;"SÃO FELIPE D'OESTE";11;"RO";300;300;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6219;94617;4169;32;1111;1837;313;57;389;28800;12946;0;0
"46";1101492;"SÃO FRANCISCO DO GUAPORÉ";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18265;435786;15323;46;4173;3024;557;275;4961;61444;27650;0;0
"47";1101500;"SERINGUEIRAS";11;"RO";1200;1200;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12505;186278;9634;29;2737;2963;622;272;2549;43343;19500;0;1335
"48";1101559;"TEIXEIRÓPOLIS";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5080;96628;9906;0;1436;1557;276;389;1131;22564;10154;0;0
"49";1101609;"THEOBROMA";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11343;240540;13344;78;3684;2827;343;197;1626;45594;20988;0;0
"50";1101708;"URUPÁ";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13491;162567;21678;9;3314;3313;585;91;1161;66497;29923;0;3861
"51";1101757;"VALE DO ANARI";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10518;114935;9457;46;2372;2383;280;46;1096;34113;15323;0;0
"52";1101807;"VALE DO PARAÍSO";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8425;163118;15552;285;2844;2115;375;118;1339;37449;16852;0;0
"53";1200013;"ACRELÂNDIA";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13353;176318;8639;1;4949;3630;712;267;2519;68015;17208;0;0
"54";1200054;"ASSIS BRASIL";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6480;39318;1023;69;1956;5553;311;701;3857;50743;12838;0;0
"55";1200104;"BRASILÉIA";12;"AC";0;0;0;0;0;167,358;210948;0;0;0;0;0;0;0;0;0;0;0;0;0;22899;202584;5632;222;4222;11226;1820;2983;4846;249975;40496;0;0
"56";1200138;"BUJARI";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9003;206059;1752;343;3853;2249;160;267;4014;65968;16194;6043;0
"57";1200179;"CAPIXABA";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9836;147187;4224;396;2085;3605;259;278;2338;77844;18465;0;0
"58";1200203;"CRUZEIRO DO SUL";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80377;35266;1868;385;842;6954;771;464;1485;187616;52624;50;4020
"59";1200252;"EPITACIOLÂNDIA";12;"AC";0;0;0;0;0;495,4;646523;45,4;30110;0;0;0;0;0;0;0;0;0;0;0;16099;83657;4769;42;1825;3527;248;940;1749;129076;24137;0;0
"60";1200302;"FEIJÓ";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32411;81324;3252;375;2801;19982;3596;380;9848;106605;31981;0;0
"61";1200328;"JORDÃO";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7147;6293;189;21;72;1925;508;62;1215;14785;4140;0;0
"62";1200336;"MÂNCIO LIMA";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16410;13271;776;33;226;3056;347;262;743;47405;11495;0;0
"63";1200344;"MANOEL URBANO";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8386;29657;578;24;1120;2258;218;385;513;18110;3905;0;0
"64";1200351;"MARECHAL THAUMATURGO";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15857;14828;683;0;53;7333;637;387;1485;60543;13987;0;0
"65";1200385;"PLÁCIDO DE CASTRO";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17795;168993;8027;176;4526;4975;345;536;5049;76510;17769;0;0
"66";1200393;"PORTO WALTER";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10143;9711;615;0;71;5397;305;459;525;42230;9579;0;0
"67";1200401;"RIO BRANCO";12;"AC";60;57;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357194;498418;5929;421;10354;9272;809;1142;8670;172506;61837;7050;2130
"68";1200427;"RODRIGUES ALVES";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15968;8641;815;52;260;1798;167;174;931;40449;12416;0;0
"69";1200435;"SANTA ROSA DO PURUS";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5374;5163;524;0;91;1220;194;61;223;5480;1257;0;0
"70";1200450;"SENADOR GUIOMARD";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20799;222955;10670;667;5280;2742;192;490;7205;223305;143362;0;0
"71";1200500;"SENA MADUREIRA";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40311;224450;3185;119;8258;12574;1848;3649;10629;95052;18345;0;1368
"72";1200609;"TARAUACÁ";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37571;133165;3931;366;2170;14024;2804;416;4712;99983;29892;0;0
"73";1200708;"XAPURI";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17021;219082;6178;310;6373;6995;498;778;3484;95989;18930;0;0
"74";1200807;"PORTO ACRE";12;"AC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16029;171149;4365;119;3484;4281;352;346;5361;58299;14867;0;0
"75";1300029;"ALVARÃES";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15166;620;0;46;0;160;50;0;86;3820;2700;0;0
